,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted
0,SIA/WB/MIN/247169/2021,Stone Crushing Unit of M/s Ashwini Gorai Crusher,Non-Coal Mining,24 Dec 2021,24/12/2021,11/02/2022,,,,,,,
1,SIA/WB/MIS/34995/2018,Southcity,INFRA-2,19 Apr 2019,19/04/2019,,,08/05/2019,,,17/05/2019,17/05/2019,06/05/2019
2,SIA/WB/MIN/232241/2021,"Ghanesharpur sand mine on Kangshabati river at plot no: Plot No: 84 (P), 85(P) & 86(P) / JL No.: 109, Area- 0.44 Hectare/1.09 Acres Mouza: Ghanesharpur, P.S. Sadar, District: Paschim Medinipur, State: West Bengal.",Non-Coal Mining,01 Oct 2021,01/10/2021,,,,,,,,
3,SIA/WB/MIN/229166/2021,"Dadpur Sand Mine, Kamal Kumar Ghosh",Non-Coal Mining,18 Sep 2021,18/09/2021,30/09/2021,,,,,,,
4,SIA/WB/MIN/166343/2020,"Bhalukmura Sand Mine (Area- 2.02 Hectares) on Silabati River on Plot No. 16(P), 63(P) & 77(P)",Non-Coal Mining,13 Oct 2020,03/08/2020,31/08/2020,13/10/2020,27/11/2020,,,13/04/2021,,
5,SIA/WB/MIN/218850/2021,M/s Reza Brick Field,Non-Coal Mining,31 Jul 2021,31/07/2021,20/11/2021,,,,,,,
6,SIA/WB/MIN/247204/2021,STONE CRUSHER UNIT OF M/S K. K. BUILDERS PVT. LTD.,Non-Coal Mining,24 Dec 2021,24/12/2021,11/02/2022,,,,,,,
7,SIA/WB/MIN/189642/2020,Sayed mia Brick Field,Non-Coal Mining,09 Feb 2021,26/12/2020,10/01/2021,09/02/2021,19/02/2021,,,12/05/2021,,
8,SIA/WB/MIN/232782/2021,"OWARI BRICK EARTH MINE FOR M/S SONA BRICK FIELD, AREA 3.03 ACRES",Non-Coal Mining,16 Nov 2021,16/11/2021,06/12/2021,,,,,,,
9,SIA/WB/IND/61186/2021,"Proposed 56,000 TPA GREEN FIELD Coal Tar Distillation Plant for production of 30,800 TPA of Coal Tar Pitch; 22,120 TPA of Creosote Oil (light and heavy) and 1680 TPA of Crude Naphthalene",Industrial Projects - 1,19 Aug 2022,09/02/2022,22/02/2022,19/08/2022,24/08/2022,,,29/08/2022,,
10,SIA/WB/IND/29902/2016,"The proposed expansion of 90,000 TPA steel billets and 1,60,000 TPA wire rods to 1,92,000 TPA Wire rod and 60,000 TPA HB wire",Industrial Projects - 1,02 Jan 2019,02/01/2019,20/12/2018,02/01/2019,,,,,,
11,SIA/WB/MIN/189216/2020,M/s Lux Brick Field,Non-Coal Mining,09 Feb 2021,22/12/2020,04/01/2021,09/02/2021,19/02/2021,,,12/05/2021,,
12,SIA/WB/MIN/262446/2022,Char Molladanga Sand Block BHAG 1 (ID No. 2018-WB-865) of Rakibul Hoque.,Non-Coal Mining,11 Apr 2023,18/03/2022,07/02/2023,11/04/2023,17/04/2023,,,17/04/2023,,
13,SIA/WB/MIN/262704/2022,Becharhat Sand Mine,Non-Coal Mining,23 Mar 2022,23/03/2022,,,,,,,,
14,SIA/WB/MIN/187562/2020,SEEMA BRICKS WORKS,Non-Coal Mining,29 Apr 2021,12/12/2020,26/01/2021,29/04/2021,03/09/2021,,,16/11/2021,,
15,SIA/WB/MIN/183734/2020,River Bed Sand Mining Project on Ajay River of M/s Ganesh Nandy,Non-Coal Mining,18 Nov 2020,18/11/2020,,,21/12/2020,,,16/04/2021,,
16,SIA/WB/MIN/220482/2021,"Hard Brick Field, Joydeb Mondal",Non-Coal Mining,16 Jul 2021,16/07/2021,31/08/2021,,,,,,,
17,SIA/WB/MIN/215489/2021,MD BAZAR STONE CRUSHER MINES,Non-Coal Mining,01 Jul 2021,01/07/2021,,,17/08/2021,,,06/09/2021,,
18,SIA/WB/MIN/256733/2022,JIYATHOL QUARTZ & FELDSPAR MINE,Non-Coal Mining,26 Apr 2022,26/02/2022,07/04/2022,26/04/2022,,,,,,
19,SIA/WB/MIN/261116/2022,Chabukya Sand Mine,Non-Coal Mining,23 Mar 2022,23/03/2022,,,,,,,,
20,SIA/WB/MIN/217293/2021,M/s Ratan Brick Field,Non-Coal Mining,02 Jul 2021,02/07/2021,,,,,,,,
21,SIA/WB/MIN/215781/2021,GURGURAPAL SAND MINE (AREA- 3.00 HECTARES) ON KANGSHABATI RIVER ON Plot No.-485(P),Non-Coal Mining,24 Jun 2021,24/06/2021,,,17/08/2021,,,,,
22,SIA/WB/MIN/249221/2021,Stone Crusher of PREMLATA STONE WORKS,Non-Coal Mining,31 Dec 2021,31/12/2021,12/02/2022,,,,,,,
23,SIA/WB/MIS/277567/2022,Town House,INFRA-2,13 Jun 2022,13/06/2022,,,22/06/2022,,,27/06/2022,,
24,SIA/WB/MIN/192797/2021,Babla Brick / Earth Mine,Non-Coal Mining,02 Apr 2021,31/01/2021,18/02/2021,02/04/2021,29/04/2021,,,16/11/2021,,
25,SIA/WB/MIN/200808/2021,SERA BRICKS,Non-Coal Mining,01 Mar 2021,01/03/2021,09/03/2021,,,,,,,
26,SIA/WB/MIN/224582/2021,BALIA BRICK SOIL MINING PROJECT FOR NEW PRASAD BRICK FIELD,Non-Coal Mining,13 Aug 2021,13/08/2021,31/08/2021,,,,,,,
27,SIA/WB/MIS/264277/2022,SANKALPA SITE II,INFRA-2,04 May 2023,15/10/2022,11/11/2022,04/05/2023,24/05/2023,,,03/06/2023,,
28,SIA/WB/MIN/125834/2019,PALSARA BLACK STONE MINE,Non-Coal Mining,27 Dec 2019,20/11/2019,24/02/2020,27/12/2019,,,,,,
29,SIA/WB/MIS/125827/2019,Residential Complex “Merlin Elements”,INFRA-2,30 Dec 2019,16/11/2019,22/01/2021,30/12/2019,,,,,,
30,SIA/WB/MIS/43040/2006,"Expansion of “KPC MEDICAL COLLEGE AND HOSPITAL” at 1F, Raja S.C. Mullick Road, P.O. & P.S. - Jadavpur, Kolkata – 700032, West Bengal",INFRA-2,17 Sep 2019,17/09/2019,,,30/09/2019,,,31/01/2020,,
31,SIA/WB/MIN/241099/2021,Bhikanpur Sand mine on Kangshabati river,Non-Coal Mining,24 Feb 2022,24/02/2022,07/04/2022,,,,,,,
32,SIA/WB/MIS/70062/2019,Residential Complex by Devaloke Developers Ltd.,INFRA-2,13 May 2022,17/12/2021,11/02/2022,13/05/2022,24/05/2022,,,30/05/2022,,07/07/2023
33,SIA/WB/IND/57318/2018,"Proposed expansion of Steel Melting Shop Project of M/s R.S. Concast Limited, AT:  Bamunara Industrial Estate, P.O. Bamunara, P.S.  Kanksa , Dist : Paschim  Burdwan, West Bengal",Industrial Projects - 1,28 Nov 2020,09/10/2020,12/10/2020,28/11/2020,21/12/2020,,,10/01/2021,13/03/2021,11/06/2021
34,SIA/WB/MIN/194584/2021,MD BAZAR STONE CRUSHER MINE,Non-Coal Mining,25 Feb 2021,25/01/2021,26/04/2021,25/02/2021,,,,,,
35,SIA/WB/MIS/51607/2019,Merlin Uttara,INFRA-2,27 Jan 2021,28/02/2020,10/01/2021,27/01/2021,03/02/2021,,,19/02/2021,,
36,SIA/WB/MIN/184044/2020,PAIKPARA SAND MINE,Non-Coal Mining,20 Nov 2020,20/11/2020,,,10/02/2021,,,28/06/2021,,
37,SIA/WB/MIN/262075/2022,Kumirkola Sand Mine Ashim Panja,Non-Coal Mining,23 Jan 2023,16/03/2022,20/01/2023,23/01/2023,03/02/2023,,,09/02/2023,,
38,SIA/WB/MIN/210862/2021,Khudrapur Sand Mine,Non-Coal Mining,30 Apr 2021,30/04/2021,,,06/07/2021,,,,,
39,SIA/WB/MIN/44017/2019,Baguli Stone Mine,Non-Coal Mining,12 Jan 2022,12/10/2019,,,,,,,,
40,SIA/WB/MIS/49651/2019,Fortis Hospital,INFRA-2,09 Jan 2020,09/01/2020,,,08/07/2020,,,10/03/2021,13/12/2021,07/07/2023
41,SIA/WB/MIS/54814/2018,Sri Chaitanya Chandrodaya Mandir and Indian Educational and Cultural Centre,INFRA-2,05 Aug 2020,29/07/2020,30/07/2020,05/08/2020,12/08/2020,,,16/09/2020,04/05/2021,
42,SIA/WB/MIN/246758/2021,Stone Crusher of Maa Annapurna Stone Crusher Unit,Non-Coal Mining,22 Dec 2021,22/12/2021,11/02/2022,,,,,,,
43,SIA/WB/MIN/246527/2021,STONE CRUSHER UNIT OF M/S SINGH CRUSHER UNIT,Non-Coal Mining,21 Dec 2021,21/12/2021,11/02/2022,,,,,,,
44,SIA/WB/MIN/194366/2021,Khatanga Quartz Mine,Non-Coal Mining,10 Mar 2021,24/01/2021,26/02/2021,10/03/2021,18/03/2021,,,19/08/2021,,01/09/2023
45,SIA/WB/MIS/143877/2020,EXPANSION OF RESIDENTIAL COMPLEX,INFRA-2,21 Feb 2020,18/02/2020,20/02/2020,21/02/2020,18/06/2020,,,19/08/2020,20/11/2020,15/01/2021
46,SIA/WB/MIN/167675/2020,"BHATPARA SAND MINE (AREA-2.30 HECTARES) ON KANGSHABATI RIVER ON Plot No.-172(P)& 194(P),LOCATED AT MOUZA- BHATPARA, P.S. - MEDINIPUR, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL,JL NO. 84",Non-Coal Mining,13 Oct 2020,12/08/2020,31/08/2020,13/10/2020,24/11/2020,,,09/12/2020,,
47,SIA/WB/MIN/264059/2022,Gaitanpur sand mine New Kalimata sand Supply,Non-Coal Mining,03 Feb 2023,29/03/2022,24/01/2023,03/02/2023,15/02/2023,,,17/02/2023,,
48,SIA/WB/MIN/197729/2021,Sukan Dighi Brick Earth Mine For M/s Raja Brick Field,Non-Coal Mining,11 Feb 2021,11/02/2021,18/02/2021,,,,,,,
49,SIA/WB/MIN/246682/2021,"Harishpara Brick Earth Mine For M/s M.R.F. Brick Field, Area 3.23 Acres",Non-Coal Mining,22 Dec 2021,22/12/2021,24/01/2022,,,,,,,
50,SIA/WB/MIN/208203/2021,Narasinghapur Sand Mine,Non-Coal Mining,08 Apr 2021,08/04/2021,,,29/04/2021,,,,,
51,SIA/WB/MIS/127579/2019,Information Technology Office Building,INFRA-2,26 Nov 2019,26/11/2019,,,,,,,,
52,SIA/WB/MIS/102230/2019,"Housing Complex - 'The Khaki Estate""",INFRA-2,17 Apr 2019,17/04/2019,,,22/04/2019,,,17/05/2019,26/12/2019,02/12/2019
53,SIA/WB/MIN/216035/2021,"PUTULIA SAND MINE (AREA-3.82 HECTARES) ON AJAY RIVER ON Plot No.-1108 (P).LOCATED AT MOUZA- PUTULIA, P.S. - BARABANI, DISTRICT- PASCHIM BARDHAMAN, STATE- WEST BENGAL, JL NO. -13",Non-Coal Mining,24 Jun 2021,24/06/2021,,,31/07/2021,,,,,
54,SIA/WB/MIS/202885/2021,Residential Complex,INFRA-2,24 Mar 2021,10/03/2021,18/03/2021,24/03/2021,29/04/2021,,,28/06/2021,10/09/2021,09/12/2021
55,SIA/WB/MIN/240035/2021,Gopiballavpur - II Sand Block MGB – 95 of Tanay Maity,Non-Coal Mining,22 Nov 2021,22/11/2021,,,,,,,,
56,SIA/WB/MIS/139925/2020,Atmosphere,INFRA-2,31 Jan 2020,31/01/2020,,,,,,,,
57,SIA/WB/MIN/231776/2021,"Idilpur Sand Mine, Nmaita Enterprise",Non-Coal Mining,30 Oct 2021,28/09/2021,25/10/2021,,,,,,,
58,SIA/WB/MIS/248976/2021,Affordable Housing Complex,INFRA-2,02 Feb 2022,31/12/2021,24/01/2022,02/02/2022,11/02/2022,,,14/02/2022,,03/06/2022
59,SIA/WB/MIN/241123/2021,Chakmansur sand mine on Kangshabati river,Non-Coal Mining,24 Feb 2022,24/02/2022,07/04/2022,,,,,,,
60,SIA/WB/MIN/254367/2022,"Dhulkomra Feldspar & Quartz Mine (O.C.) is located in Mouza- Dhulkomra, P.S.- Kankartala, Khairasole District- Birbhum, State- West Bengal",Non-Coal Mining,25 Feb 2022,02/02/2022,24/02/2022,25/02/2022,,,,,,
61,SIA/WB/MIN/207636/2021,M/s S.K.S Brick Field,Non-Coal Mining,15 Sep 2021,02/04/2021,15/12/2021,15/09/2021,,,,,,
62,SIA/WB/IND/66688/2010,"Proposed Expansion of the existing Steel Plant by installation of 4x30 T Induction Furnaces with 1x40T LRF & two (2-strand each) CCM and enhancement of the capacity of the Rolling Mill from 2,22,000 TPA to 5,02,000 TPA",Industrial Projects - 1,18 Aug 2021,18/08/2021,,,,,,,,
63,SIA/WB/MIN/262524/2022,Bangpur Sand Mine Manirul Mondal,Non-Coal Mining,23 Dec 2022,25/03/2022,30/11/2022,23/12/2022,24/01/2023,,,09/02/2023,,
64,SIA/WB/MIN/198224/2021,Gopiballavpur - II Sand Block MGB - 65 of Soumen Gope,Non-Coal Mining,15 Feb 2021,15/02/2021,,,18/03/2021,,,,,
65,SIA/WB/MIS/210737/2019,Sugam Park,INFRA-2,19 Sep 2019,19/09/2019,,,02/06/2021,,,25/07/2021,09/08/2021,
66,SIA/WB/MIS/153699/2020,Proposed Institutional Project Biswa Bangla BiswaBidyalaya,INFRA-2,15 Jun 2020,19/05/2020,21/07/2020,15/06/2020,,,,,,
67,SIA/WB/MIN/208196/2021,Kotsimul Sand Mine,Non-Coal Mining,08 Apr 2021,08/04/2021,,,29/04/2021,,,,,
68,SIA/WB/MIN/228553/2021,"UPARDANGA SAND MINE (AREA- 3.40 HECTARES) ON KANGSHABATI RIVER ON Plot No.-706(P)LOCATED AT MOUZA- UPARDANGA, P.S. - MEDINIPUR, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL,JL NO. 83",Non-Coal Mining,09 Sep 2021,09/09/2021,17/09/2021,,,,,,,
69,SIA/WB/MIN/231229/2021,Kotsimul Sand Mine,Non-Coal Mining,24 Sep 2021,24/09/2021,,,,,,,,
70,SIA/WB/MIN/191197/2021,DEEP DUTTA SAND MINE (MSB-58),Non-Coal Mining,29 Jun 2021,05/01/2021,16/06/2021,29/06/2021,25/08/2021,,,,,
71,SIA/WB/MIN/196805/2021,Gopiballavpur - I Sand Block MGB - 15 of Najmul Khan,Non-Coal Mining,06 Feb 2021,06/02/2021,,,19/03/2021,,,,,
72,SIA/WB/MIN/36472/2019,"Purusurah Sand Ghat over an area of 3.73 Ha in vill. Soaluk, P.S. Pursurah,Dist: Hooghly, West Bengal",Non-Coal Mining,21 May 2019,21/05/2019,,,,,,,,
73,SIA/WB/MIN/261445/2022,BRICK EARTH MINE OF RAJA BRICKS,Non-Coal Mining,14 Mar 2022,14/03/2022,,,,,,,,
74,SIA/WB/MIS/40234/2018,"Proposed Secured Landfill facility  Calcutta Leather Complex, Bantala, Village-Tardaha Kapasati, District- South 24 Parganas, State-West Bengal.",INFRA-2,02 Aug 2019,02/08/2019,,,02/09/2019,,,23/12/2019,28/01/2020,12/12/2019
75,SIA/WB/MIS/180865/2020,The 102,INFRA-2,01 Dec 2020,28/10/2020,11/11/2020,01/12/2020,18/12/2020,,,21/01/2021,13/03/2021,
76,SIA/WB/MIN/180009/2020,Brick Earth Mine Mouza Adna,Non-Coal Mining,22 Oct 2020,22/10/2020,10/01/2021,,,,,,,
77,SIA/WB/MIN/239050/2021,M/s Mondal Bricks,Non-Coal Mining,16 Nov 2021,16/11/2021,20/11/2021,,,,,,,
78,SIA/WB/MIN/185745/2020,Agampur Brick Earth Mining Project,Non-Coal Mining,30 Nov 2020,30/11/2020,18/02/2021,,,,,,,
79,SIA/WB/MIN/197196/2021,Torsa River bed sand mine,Non-Coal Mining,16 Apr 2021,08/02/2021,09/03/2021,16/04/2021,25/06/2021,,,,,
80,SIA/WB/MIN/247197/2021,Stone Crusher Unit of M/s Shibsakti Stone Crusher Unit,Non-Coal Mining,24 Dec 2021,24/12/2021,11/02/2022,,,,,,,
81,SIA/WB/MIN/246535/2021,STONE CRUSHING UNIT OF M/S SREE RAGHUNATH STONE CRUSHING UNIT,Non-Coal Mining,21 Dec 2021,21/12/2021,12/02/2022,,,,,,,
82,SIA/WB/MIN/62458/2017,Krishnapur Sand Mine (5.58Ha),Non-Coal Mining,19 May 2017,19/05/2017,09/03/2017,19/05/2017,26/05/2017,,,29/06/2017,05/12/2017,05/03/2018
83,SIA/WB/NCP/84000/2018,"Commercial Complex - Building and
Construction project",INFRA-1,03 Jan 2019,03/01/2019,12/11/2018,03/01/2019,,,,,,
84,SIA/WB/NCP/81869/2018,Commercial Complex,INFRA-1,08 Oct 2018,08/10/2018,,,,,,,,
85,SIA/WB/MIN/438578/2023,Gangarampur Sand Mine (MIN_DD_24),Non-Coal Mining,29 Jul 2023,29/07/2023,,,08/08/2023,,,18/08/2023,,17/10/2023
86,SIA/WB/MIN/262276/2022,Subarnarekha Riverbed Sand Mine MSHB15,Non-Coal Mining,24 Mar 2022,24/03/2022,,,,,,,,
87,SIA/WB/MIN/262667/2022,Balia Sand Mine MGB60,Non-Coal Mining,24 Mar 2022,24/03/2022,,,,,,,,
88,SIA/WB/MIS/210406/2021,Housing Complex,INFRA-2,26 Apr 2021,26/04/2021,,,23/07/2021,,,19/08/2021,26/04/2022,03/06/2022
89,SIA/WB/MIS/212485/2021,Housing Complex,INFRA-2,17 May 2021,17/05/2021,,,08/10/2021,,,26/10/2021,,07/11/2022
90,SIA/WB/MIN/232930/2021,Gopiballavpur - II Sand Block MGB - 1 of Mithu Saha.,Non-Coal Mining,02 Nov 2021,02/11/2021,,,,,,,,
91,SIA/WB/MIN/196914/2021,Gopiballavpur - II Sand Block MGB - 90 of Sk. Karim,Non-Coal Mining,10 Feb 2021,10/02/2021,,,18/03/2021,,,,,
