"","Unnamed..0","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Status"
"2375",296,"SIA/OR/MIN/74681/2018","JALDA STONE QUARRY 
PLOT NO-47","Non-Coal Mining","20 Apr 2018","20/04/2018","","","20/04/2018","","","05/06/2018","","","Delisted"
"2376",297,"SIA/OR/INFRA2/427980/2023","Proposed Residential Building of ‘7S+22’ storied at Mouza- Patia, Tahasil- Bhubaneswar, Dist- Khordha, Odisha of M/s Sahej Towers Pvt. Ltd.","INFRA-2","30 May 2023","09/05/2023","15/05/2023","30/05/2023","31/05/2023","","","05/06/2023","","","Deferred by SEAC"
"2377",298,"SIA/OR/MIN/78743/2018","Mankidia  Sand Bed Over an area of 20.00 Acres or 8.093 hectares in village Mankidia under Jaleswar Tahasil of Balasore District of Odisha.","Non-Coal Mining","29 Sep 2018","29/09/2018","05/10/2018","29/09/2018","","","","","","","Delisted"
"2378",299,"SIA/OR/IND2/23268/2018","PRODUCTION OF 0.540 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, JHANKARPADA MAIN O S LIQUOR SHOP AT- JHANKARPADA, DIST. - BOUDH","Industrial Projects - 2","01 Apr 2018","01/04/2018","","","07/04/2018","","","08/05/2018","23/05/2018","07/06/2018","EC Granted"
"2379",300,"SIA/OR/MIN/71609/2017","BARUDA SAND QUARRY","Non-Coal Mining","14 Dec 2017","14/12/2017","","","15/12/2017","","","11/01/2018","","","Delisted"
"2380",301,"SIA/OR/NCP/74935/2018","CONSTRUCTION OF INTER STATE BUS TERMINAL ISBT AT BARAMUNDA BHUBASNESWAR ODISHA ON EPC MODE","INFRA-1","11 May 2018","11/05/2018","","","14/05/2018","","","23/06/2018","01/01/2019","06/11/2019","EC Granted"
"2381",302,"SIA/OR/IND2/23272/2018","PRODUCTION OF 1.35 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, ASHREGAON MAIN O S LIQUOR SHOP AT - ASHREGAON, DIST. BOUDH","Industrial Projects - 2","02 Apr 2018","02/04/2018","","","07/04/2018","","","13/06/2018","03/07/2018","28/07/2018","EC Granted"
"2382",303,"SIA/OR/MIN/64316/2017","SILIMAPOSI SAND BED","Non-Coal Mining","30 Apr 2017","30/04/2017","","","06/05/2017","","","06/06/2017","17/04/2018","17/05/2018","EC Granted"
"2383",304,"SIA/OR/MIN/424669/2023","Application for Environmental Clearance of Proposed Stone Quarry of Uppalada Stone Quarry - I, IV, VIII, IX (under cluster approach of Uppalada Stone Quarry - I, II, III, IV, V, VIII, IX) is a stone mining project over an area of 20.478 Ha. and Total Cluster area of 39.811 Ha. located in village - Uppalada, Tahasil - Paralakhemundi in District - Gajapati of Odisha.","Non-Coal Mining","11 May 2023","03/04/2023","15/04/2023","11/05/2023","29/05/2023","","","31/05/2023","","","Rejection Letter Granted"
"2384",305,"SIA/OR/MIN/39158/2016","PALLUR HILL STONE QUARRY(B) Mine Project having an area of 0.40 Ha with proposed production capacity of 419 Cum   AT Village  Pallur Hill (A), Tehsil Kanisi, District Ganjam, State Odisha. Applicant: Sh. Manamohan Maharana","Non-Coal Mining","09 Jan 2016","09/01/2016","","","13/01/2016","","","","","","Delisted"
"2385",306,"SIA/OR/MIN/40136/2016","Janakpur (Bajarpur) Sand Bed","Non-Coal Mining","13 Jan 2016","13/01/2016","","","19/01/2016","","","","","","Delisted"
"2386",307,"SIA/OR/IND2/23117/2018","Ichgaon OS Shop","Industrial Projects - 2","30 Mar 2018","30/03/2018","","","31/03/2018","","","08/05/2018","13/07/2018","30/07/2018","EC Granted"
"2387",308,"SIA/OR/IND2/22582/2018","Sahajbahal ‘K’ O.S. Shop","Industrial Projects - 2","22 Mar 2018","22/03/2018","","","26/03/2018","","","07/05/2018","07/07/2018","28/07/2018","EC Granted"
"2388",309,"SIA/OR/MIN/60445/2016","Badakodanda 1 River Sand Bed over an area of 5.404 Ha in Badakodanda Village under Ghumusur(Bhanjanagar) Tahasil of Ganjam district Odisha","Non-Coal Mining","15 Nov 2016","15/11/2016","","","17/11/2016","","","14/02/2017","22/02/2017","06/03/2017","EC Granted"
"2389",310,"SIA/OR/MIN/42365/2016","Lahandabuda Sand Bed-B Over lease area of 20.00 acres/8.093 ha located at Village- Lahandabuda, Tahasil- Jharsuguda, District- Jharsuguda","Non-Coal Mining","26 Jan 2016","26/01/2016","","","30/01/2016","","","","","26/04/2016","EC Granted - Processed offline"
"2390",311,"SIA/OR/MIN/429135/2023","Rambeda Sand Bed Over an area of 12.34 Acres or 4.99 hectares in village Rambeda under Tiring Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","13 May 2023","13/05/2023","19/05/2023","","","","","","","","Query raised by SEIAA and pending at PP"
"2391",312,"SIA/OR/IND2/22644/2018","Komna O.S. Shop","Industrial Projects - 2","26 Mar 2018","26/03/2018","","","26/03/2018","","","07/05/2018","07/07/2018","28/07/2018","EC Granted"
"2392",313,"SIA/OR/MIN/415407/2023","Proposal for Fresh EC of Parsurampur Morrum Quarry over an area of 2.00 Acres or 0.809 Ha at village Parsurampur, Tahasil-Parlakhemundi, Dist-Gajapati, Odisha of Sri Sridhar Kumar Mishra","Non-Coal Mining","21 Jan 2023","21/01/2023","","","02/02/2023","","","10/02/2023","","27/04/2023","EC Granted"
"2393",314,"SIA/OR/NCP/59415/2016","442 quarters at Group Centre, CRPF, Village Nayapalli, Bhubaneswar, Odisha ","INFRA-1","03 Oct 2016","03/10/2016","","","18/10/2016","30/12/2016","28/02/2017","03/03/2017","03/03/2017","13/02/2017","EC Granted - Processed offline"
"2394",315,"SIA/OR/INFRA2/418519/2023","Common Bio-medical Waste Treatment & disposal facility at Khata No-81/17, Plot No-15, Mauza-Balibad, Tehsil- Soro, District-Balasore, Odisha including Incinerator, Autoclave, Shredder and Effluent treatment unit.","INFRA-2","13 Mar 2023","16/02/2023","03/03/2023","13/03/2023","15/03/2023","","","21/03/2023","","","Deferred by SEIAA"
"2395",316,"SIA/OR/MIN/80682/2018","Tentuligaon Sand Quarry,Over an area of 15.00 Ac./6.07 Ha. in village Tentuligaon Under Kutisinga Panchayat in Agalpur Tahasil of Balangir District, Odisha","Non-Coal Mining","29 Sep 2018","29/09/2018","11/10/2018","29/09/2018","","","","","","","Delisted"
"2396",317,"SIA/OR/MIN/422646/2023","Baddalima Stone Quarry Over an area of 1.35 Acre or 0.54 Hectares in village Baddalima under Tiring Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","19 Mar 2023","19/03/2023","","","11/04/2023","","","20/05/2023","","","Delisted"
"2397",318,"SIA/OR/IND2/27888/2018","Borda O.S. liquor Shop","Industrial Projects - 2","25 Jun 2018","25/06/2018","","","29/06/2018","","","01/09/2018","12/09/2018","25/09/2018","EC Granted"
"2398",319,"SIA/OR/IND2/25941/2018","Patharla O.S. Shop","Industrial Projects - 2","01 May 2018","01/05/2018","","","07/05/2018","","","05/06/2018","03/07/2018","28/07/2018","EC Granted"
"2399",320,"SIA/OR/MIN/417081/2023","Dankari Black Stone Quarry No.17 over 2.023 Ha in Village Dankari Dharmasala Tahasil  in the District Jajpur","Non-Coal Mining","16 Feb 2023","06/02/2023","09/02/2023","16/02/2023","16/02/2023","","","23/02/2023","","08/05/2023","EC Granted"
"2400",321,"SIA/OR/MIN/48696/2016","Sribana Batimala Sand Bed Over lease area of 5.20 ha located at Village- Sribana Batimala, Tahasil- Ganjam, District- Ganjam","Non-Coal Mining","10 Feb 2016","10/02/2016","","","29/02/2016","","","","","25/06/2016","EC Granted - Processed offline"
"2401",322,"SIA/OR/NCP/23634/2018","Proposed fourteen blocks of (S+4) storey residential apartment and two storied clubcumsociety building of M/s. Trident properties Pvt. Ltd.","INFRA-1","06 Apr 2018","06/04/2018","","","13/04/2018","","","19/05/2018","15/10/2018","30/11/2018","EC Granted"
"2402",323,"SIA/OR/MIN/56866/2016","ghodar river sand quarry ","Non-Coal Mining","23 Aug 2016","23/08/2016","04/07/2016","23/08/2016","29/08/2016","","","13/02/2018","20/02/2018","27/02/2018","EC Granted"
"2403",324,"SIA/OR/MIN/30089/2015","excavating of black stone for M/S NKC Projects Pvt Ltd","Non-Coal Mining","14 Aug 2015","14/08/2015","","","","","","","","","Query raised by SEIAA and pending at PP"
"2404",325,"SIA/OR/IND2/29693/2018","PRODUCTION OF 1.35 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, BADAGADA MAIN O S LIQUOR SHOP AT-BARAMUNDALI, SHERAGADA, DIST. - GANJAM","Industrial Projects - 2","30 Oct 2018","30/10/2018","","","17/11/2018","","","24/11/2018","24/11/2018","30/11/2018","EC Granted"
"2405",326,"SIA/OR/IND2/22348/2018","Barpali O.S.Shop","Industrial Projects - 2","17 Mar 2018","17/03/2018","","","20/03/2018","","","01/09/2018","12/09/2018","04/10/2018","EC Granted"
"2406",327,"SIA/OR/MIN/59902/2016","Nua Mahulpalli Sand bed over an area of 12.50 Acre or 5.058 Ha in village Nuamahulpalli, Tahasil Jujomura, Dist Sambalpur Odisha","Non-Coal Mining","09 Nov 2016","09/11/2016","08/11/2016","09/11/2016","10/11/2016","","","25/01/2018","15/03/2018","06/10/2018","EC Granted"
"2407",328,"SIA/OR/IND2/22462/2018","Bhatli O.S. Shop","Industrial Projects - 2","18 Mar 2018","18/03/2018","","","23/03/2018","","","13/04/2018","02/05/2018","28/05/2018","EC Granted"
"2408",329,"SIA/OR/IND2/22583/2018","Gadramunda O.S. Shop","Industrial Projects - 2","22 Mar 2018","22/03/2018","","","26/03/2018","","","07/05/2018","07/07/2018","28/07/2018","EC Granted"
"2409",330,"SIA/OR/MIN/403698/2022","Righa Sand Bed over an area of 12.35 ac or 4.998 ha in village Righa of Raruan Tahasil of Mayurbhanj district, Odisha.","Non-Coal Mining","24 Apr 2023","19/10/2022","25/04/2023","24/04/2023","","","","","","","Query raised by SEIAA and pending at PP"
"2410",331,"SIA/OR/MIN/63875/2017","PANCHPADA SAND BED (E)","Non-Coal Mining","11 Apr 2017","11/04/2017","","","11/04/2017","","","16/05/2017","25/05/2017","12/06/2017","EC Granted"
"2411",332,"SIA/OR/IND2/22469/2018","Rampur O.S.Shop","Industrial Projects - 2","19 Mar 2018","19/03/2018","","","23/03/2018","","","13/04/2018","02/05/2018","01/06/2018","EC Granted"
"2412",333,"SIA/OR/IND2/22439/2018","Dehuripada Outstill Shop","Industrial Projects - 2","18 Mar 2018","18/03/2018","","","20/03/2018","","","13/04/2018","24/04/2018","24/05/2018","EC Granted"
"2413",334,"SIA/OR/IND2/29143/2018","Production of 0.810 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Purunabaripada Main Out Still Shop at Chaturi Village, Tehsil-Gopabandhunagar , Dist –Mayurbhanj, Odisha","Industrial Projects - 2","22 Sep 2018","22/09/2018","","","11/10/2018","","","25/10/2018","01/11/2018","16/11/2018","EC Granted"
"2414",335,"SIA/OR/MIN/409627/2022","Kandarsingi sand quarry","Non-Coal Mining","09 Mar 2023","09/12/2022","29/01/2023","09/03/2023","28/03/2023","","","15/04/2023","","","Delisted"
"2415",336,"SIA/OR/MIN/403230/2022","Venkatpallam Sand Bed","Non-Coal Mining","03 Nov 2022","15/10/2022","15/11/2022","03/11/2022","","","","","","","WithdrawEC"
"2416",337,"SIA/OR/MIN/429084/2023","Proposal for Fresh EC of Basupali Stone Quarry No-4 over an area of 5.00 Acres or 2.023 Ha having Khata No.14, Plot No. 79 in village Basupali under Bolangir Tahasil of Bolangir District, Odisha.","Non-Coal Mining","12 May 2023","12/05/2023","","","16/05/2023","","","31/05/2023","","30/06/2023","EC Granted"
"2417",338,"SIA/OR/MIN/403717/2022","Baruda Sand Bed over an area of 6.015 acres or 2.434 hectares  bearing Khata no. - 723, Plot no. – 1617/A in village Baruda, Tahasil Ghumusar(Bhanjanagar), District Ganjam, State Odisha.","Non-Coal Mining","04 Nov 2022","19/10/2022","04/11/2022","04/11/2022","07/11/2022","","","30/11/2022","","21/02/2023","EC Granted"
"2418",339,"SIA/OR/MIN/49969/2016","Kandhakelenga Stone Quarry Over lease area of 4.20 acres or 1.69 ha located at Village- Kandhakelenga, Tahasil- Saintala, District- Balangir","Non-Coal Mining","19 Feb 2016","19/02/2016","02/03/2016","","","","","","","","Delisted"
"2419",340,"SIA/OR/IND2/21776/2018","810 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED MOTER OS SHOP","Industrial Projects - 2","27 Jan 2018","27/01/2018","","","30/01/2018","","","13/03/2018","28/03/2018","20/04/2018","EC Granted"
"2420",341,"SIA/OR/MIN/404494/2022","Lima Sand Bed over an area of 12.355 acres or 5.00 hectares bearing Khata No. 541, Plot No. 688, 691, 682, 681, 679, 677, 2073 & 2401 in the village Lima under Tahasil Kundra, District Koraput, State Odisha. ","Non-Coal Mining","28 Oct 2022","28/10/2022","","","14/11/2022","","","30/11/2022","","20/01/2023","EC Granted"
"2421",342,"SIA/OR/MIN/42367/2016","Raikala Stone Quarry Over lease area of 1.00 acres/0.404 ha located at Village- Raikala, Tahasil- Raruan, District- Mayurbhanj","Non-Coal Mining","26 Jan 2016","26/01/2016","","","30/01/2016","","","","","","Delisted"
"2422",343,"SIA/OR/IND2/28105/2018","Sasaposi O.S. liquor Shop","Industrial Projects - 2","12 Jul 2018","12/07/2018","","","13/07/2018","","","20/09/2018","12/11/2018","17/11/2018","EC Granted"
"2423",344,"SIA/OR/IND2/35242/2019","Production of 2.058 kld of country liquor from Kusumi OS Shop at Badakushasthali village in Ganjam district, Odisha","Industrial Projects - 2","25 Apr 2019","25/04/2019","","","15/05/2019","","","27/05/2019","17/07/2019","25/07/2019","EC Granted"
"2424",345,"SIA/OR/IND2/22464/2018","Urduna Out Still Shop","Industrial Projects - 2","19 Mar 2018","19/03/2018","","","23/03/2018","","","13/04/2018","02/05/2018","01/06/2018","EC Granted"
"2425",346,"SIA/OR/MIN/403998/2022","Talab Stone Quarry – 2 (A) Over An Area Of 12.27 Acres Or 4.96 Hectares Bearing Khata No. 751, Plot No. 1443(p) In Talab Village Of Sambalpur Tahasil, District- Sambalpur, State Odisha Submitted Under Cluster Approach With Total Cluster Area 12.606 Hectares With Consisting Of 5 Stone Quarries.","Non-Coal Mining","21 Oct 2022","21/10/2022","","","27/10/2022","","","29/10/2022","","12/12/2022","EC Granted"
"2426",347,"SIA/OR/MIN/69343/2017","SORISAMULI SAND QUARRY ","Non-Coal Mining","14 Sep 2017","14/09/2017","14/09/2017","14/09/2017","15/09/2017","","","27/10/2017","08/11/2017","28/11/2017","EC Granted"
"2427",348,"SIA/OR/MIN/404715/2022","Balanga Sand Bed, Bajratundi Over an area of 12.32 Acres or 4.99 hectares in village Bajratundi under Shamakhunta Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","03 Nov 2022","03/11/2022","16/11/2022","","","","","","","","Query raised by SEIAA and pending at PP"
"2428",349,"SIA/OR/MIN/405133/2022","Legada Sand Bed Over an area of 10.00 acres or 4.046 hectare In village Legada under KarlamundaTahasil In Kalahandi District, Odisha.","Non-Coal Mining","10 Apr 2023","03/11/2022","03/04/2023","10/04/2023","23/04/2023","","","20/05/2023","","","Delisted"
"2429",350,"SIA/OR/IND2/23178/2018","1620 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED KALAMPUR MAIN O S SHOP","Industrial Projects - 2","31 Mar 2018","31/03/2018","","","","","","","","07/06/2018","EC Granted"
"2430",351,"SIA/OR/IND2/21834/2018","Menda O.S. Shop","Industrial Projects - 2","07 Feb 2018","07/02/2018","","","08/02/2018","","","31/03/2018","09/04/2018","27/07/2018","EC Granted"
"2431",352,"SIA/OR/IND2/21819/2018","Lachhipur O.S. Shop","Industrial Projects - 2","07 Feb 2018","07/02/2018","","","08/02/2018","","","13/03/2018","03/04/2018","14/05/2018","EC Granted"
"2432",353,"SIA/OR/MIN/426916/2023","Tentala-Kadamdiha Sand Bed Over an area of 12.30 Acres or 4.977 hectares in village Tentala & Kadamdiha under Bahalda Tahasil of Mayurbhanj District, Odisha.","Non-Coal Mining","21 Apr 2023","21/04/2023","25/04/2023","","","","","","","","Query raised by SEIAA and pending at PP"
"2433",354,"SIA/OR/MIN/58356/2016","Bramhani River Sand Quarry over an area of 5.07 Ha in the village Anikana tahasil- Bari, District -Jajpur, Odisha","Non-Coal Mining","12 Aug 2016","12/08/2016","","","20/08/2016","","","06/07/2017","14/07/2017","29/07/2017","EC Granted"
"2434",355,"SIA/OR/MIN/50064/2016","KAINPUR STONE QUARRY-1","Non-Coal Mining","20 Feb 2016","20/02/2016","02/03/2016","","","","","","","","Delisted"
"2435",356,"SIA/OR/MIN/425450/2023","Proposal for Fresh EC of Naragaon Decorative Stone Deposit over 3.785 ha. in village Naragaon under Kundra tehasil of Koraput district, Odisha of M/s. Sustainable Mining Services.","Non-Coal Mining","15 Apr 2023","09/04/2023","10/04/2023","15/04/2023","15/04/2023","","","20/04/2023","","","ADS by SEIAA"
"2436",357,"SIA/OR/IND2/27880/2018","Proposed Production of 1.080 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Balipati Main Out Still Shop at Balipati, Tahasil- Kegaon, Dist-Kalahandi","Industrial Projects - 2","24 Aug 2018","24/08/2018","","","11/09/2018","","","20/09/2018","30/10/2018","15/11/2018","EC Granted"
"2437",358,"SIA/OR/IND2/22545/2018","Bisalpali Out Still Shop","Industrial Projects - 2","21 Mar 2018","21/03/2018","","","26/03/2018","","","07/05/2018","07/07/2018","28/07/2018","EC Granted"
"2438",359,"SIA/OR/IND2/23282/2018","Bagedia OS Shop of Sri Anjan Kumar ahoo","Industrial Projects - 2","02 Apr 2018","02/04/2018","","","07/04/2018","","","08/05/2018","23/05/2018","07/06/2018","EC Granted"
"2439",360,"SIA/OR/MIN/406165/2022","Baddalima Stone Quarry Over an area of 1.35 Acre or 0.54 Hectares in village Baddalima under Tiring Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","04 Dec 2022","04/12/2022","05/01/2023","","","","","","","","Query raised by SEIAA and pending at PP"
"2440",361,"SIA/OR/IND2/21898/2018","810 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED CHANCHER OS SHOP","Industrial Projects - 2","05 Feb 2018","05/02/2018","","","06/02/2018","","","31/03/2018","06/09/2018","07/09/2018","EC Granted"
"2441",362,"SIA/OR/MIN/19857/2017","BADABARANGA RIVER SAND BED","Non-Coal Mining","18 Jul 2017","18/07/2017","","","22/07/2017","","","23/09/2017","20/07/2018","14/08/2018","EC Granted"
"2442",363,"SIA/OR/IND2/21787/2018","1620 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED PASTIKUDI OS SHOP","Industrial Projects - 2","27 Jan 2018","27/01/2018","","","30/01/2018","","","13/03/2018","09/04/2018","14/05/2018","EC Granted"
"2443",364,"SIA/OR/MIN/227263/2021","DHANIA NEW BUILDING STONE QUARRY (E))","Non-Coal Mining","07 Sep 2021","01/09/2021","02/09/2021","07/09/2021","02/11/2021","","","05/11/2021","05/11/2021","19/11/2021","EC Granted"
"2444",365,"SIA/OR/NCP/27975/2017","","INFRA-1","29 Jun 2018","29/06/2018","","","02/07/2018","","","","","30/11/2018","EC Granted - Processed offline"
"2445",366,"SIA/OR/MIN/49873/2016","Asurchhapal Stone Quarry","Non-Coal Mining","17 Feb 2016","17/02/2016","02/03/2016","","","","","","","","Delisted"
"2446",367,"SIA/OR/MIN/415872/2023","Proposal for Fresh EC of Turkel Sand Quarry-1 & 2(Under Cluster Approached) over an area of 24.70 Acres or 10.00 Ha having Khata No.221, Plot No. 270 in village Turkel under Kalahandi Tahasil of Kalahandi District, Odisha.","Non-Coal Mining","25 Jan 2023","25/01/2023","","","25/01/2023","","","04/02/2023","","","Deferred by SEIAA"
"2447",368,"SIA/OR/MIN/42371/2016","Digambarpur Sand Quarry(Brahmani River) Over lease area of 18.00 acres/7.284 ha located at Village- Digambarpur, Tahasil- Danagadi, District- Jajpur","Non-Coal Mining","26 Jan 2016","26/01/2016","","","31/01/2016","","","","","25/06/2016","EC Granted - Processed offline"
"2448",369,"SIA/OR/IND2/22153/2018","Production of 1.596 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Lakhmara Main Out Still Shop at Lakhmara, Tahasil- Padampur, Dist- Bargarh","Industrial Projects - 2","21 Feb 2018","21/02/2018","","","22/02/2018","","","13/03/2018","03/04/2018","09/05/2018","EC Granted"
"2449",370,"SIA/OR/MIN/72599/2018","UDBILIKA STONE QUARRY","Non-Coal Mining","30 Jan 2018","30/01/2018","","","31/01/2018","","","13/03/2018","23/03/2018","06/04/2018","EC Granted"
"2450",371,"SIA/OR/MIN/69344/2017","NIMAPADAR SAND QUARRY","Non-Coal Mining","14 Sep 2017","14/09/2017","","","14/09/2017","","","27/10/2017","08/11/2017","28/11/2017","EC Granted"
"2451",372,"SIA/OR/MIN/37937/2016","Dullaguda Stone Quarry over a lease area 0.50 acres at Village-Dullaguda,Tahasil-Borigumma,District-Koraput","Non-Coal Mining","02 Jan 2016","02/01/2016","","","10/01/2016","","","","","30/01/2016","EC Granted - Processed offline"
"2452",373,"SIA/OR/MIN/39372/2016","DURKULIA STONE QUARRY","Non-Coal Mining","09 Jan 2016","09/01/2016","","","13/01/2016","","","","","","Delisted"
"2453",374,"SIA/OR/MIN/50030/2016","GUNTHAPALABA STONE QUARRY","Non-Coal Mining","20 Feb 2016","20/02/2016","02/03/2016","","","","","","","","Delisted"
"2454",375,"SIA/OR/MIN/10977/2016","CHILADI RIVER SAND BED","Non-Coal Mining","09 May 2016","09/05/2016","","","10/05/2016","","","14/12/2017","15/03/2018","11/04/2018","EC Granted"
"2455",376,"SIA/OR/IND2/23867/2018","Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Fufgaon Main Out Still Shop at Village- Fufgaon, Tehsil- Koksara, Dist- Kalahandi","Industrial Projects - 2","08 Apr 2018","08/04/2018","","","09/04/2018","","","07/05/2018","13/07/2018","27/07/2018","EC Granted"
"2456",377,"SIA/OR/MIN/404740/2022","Proposal for Fresh EC of Ghoghar Sand Bed(A) over an area of 5.00 Acres or 2.02 Ha having Khata No.171, Plot No. 1416/1460/P in village Ghoghar under Balisankara Tahasil of Sundargarh District, Odisha.","Non-Coal Mining","28 Jun 2023","03/11/2022","06/01/2023","28/06/2023","05/07/2023","","","07/08/2023","","","Deferred by SEAC"
"2457",378,"SIA/OR/MIN/49922/2016","Dabugaon Sand Quarry-I","Non-Coal Mining","19 Feb 2016","19/02/2016","02/03/2016","","","","","","","","Delisted"
"2458",379,"SIA/OR/MIN/402927/2022","Laigura Stone Quarry over an area of 4.81 Acres or 1.95 ha at village Laigura Tahasil Kuchinda District Sambalpur","Non-Coal Mining","12 Oct 2022","12/10/2022","","","14/10/2022","","","29/10/2022","","02/05/2023","EC Granted"
"2459",380,"SIA/OR/MIN/50686/2016","Kanchanpur Stone Quarry -2 Over lease area of 2.00 acres/0.81 ha located at Village- Kanchanpur, Tahasil- Champua, District- Keonjhar","Non-Coal Mining","28 Feb 2016","28/02/2016","03/03/2016","","","","","","","","Delisted"
"2460",381,"SIA/OR/IND2/23821/2018","Production of 2.43 KLD Mahua Flower Based Country Liquor Manufacturing Unit , Kakbhata Main Out Still Shop at Kakbhata, Tehsil- Lanjigarh, PS- Lanjigarh, Dist-Kalahandi","Industrial Projects - 2","07 Apr 2018","07/04/2018","","","09/04/2018","","","07/05/2018","23/05/2018","07/06/2018","EC Granted"
"2461",382,"SIA/OR/MIN/416361/2023","For the grant of EC of Kechhobahal Stone Quarry-B (Khata No-110, Plot No-944) over an area of 2.112 Ha. or 5.22 Acres at village Kechhobahal under Jharsuguda Tahasil of Jharsuguda district, Odisha.","Non-Coal Mining","31 Jan 2023","31/01/2023","17/02/2023","","","","","","","","Query raised by SEIAA and pending at PP"
"2462",383,"SIA/OR/MIN/423372/2023","Baghia Stone Quarry Over an area of 4.92 Acre or 1.99 Hectares in village Baghia under Jamda Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","25 Mar 2023","25/03/2023","","","11/04/2023","","","20/05/2023","","21/07/2023","EC Granted"
"2463",384,"SIA/OR/MIN/411482/2022","Sogar Sand Quarry","Non-Coal Mining","22 Feb 2023","20/12/2022","29/01/2023","22/02/2023","08/04/2023","","","20/05/2023","","14/08/2023","EC Granted"
"2464",385,"SIA/OR/MIN/421545/2023","Dangasorada Stone Quarry over an area of 8.00 Acers or 3.23 Ha having Khata No. 51 Plot No. 253/1 in the village Dangasorada, Tahasil Chandrapur in district Rayagada, State Odisha.","Non-Coal Mining","23 Apr 2023","10/03/2023","13/04/2023","23/04/2023","23/04/2023","","","20/05/2023","","","Delisted"
"2465",386,"SIA/OR/MIN/406591/2022","Kharida Sand Bed Mining Project","Non-Coal Mining","07 Sep 2023","16/11/2022","06/09/2023","07/09/2023","11/09/2023","","","13/09/2023","","","ADS by SEIAA"
"2466",387,"SIA/OR/MIN/62738/2017","Janibilli Sand Quarry over an area of 9.0387Ha in village Janibilli under Dharakote Tahasil, Odisha","Non-Coal Mining","24 Feb 2017","24/02/2017","","","25/02/2017","","","14/03/2017","25/03/2017","15/04/2017","EC Granted"
"2467",388,"SIA/OR/MIN/75168/2018","MODIFIED AJARAI SAND QUARRY","Non-Coal Mining","28 May 2018","28/05/2018","28/05/2018","28/05/2018","28/05/2018","","","","","21/12/2018","EC Granted - Processed offline"
"2468",389,"SIA/OR/IND2/23198/2018","1620 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED BANER MAIN O S SHOP","Industrial Projects - 2","31 Mar 2018","31/03/2018","","","31/03/2018","","","08/05/2018","23/05/2018","07/06/2018","EC Granted"
"2469",390,"SIA/OR/MIN/29911/2015","Expansion of Roida II Iron Ore Mine","Non-Coal Mining","20 Nov 2018","20/11/2018","","","29/11/2018","","","01/12/2018","11/12/2018","18/04/2019","EC Granted"
"2470",391,"SIA/OR/MIN/37957/2016","Benapura Sand Quarry Over lease area of 12.82 acres/5.188 ha located at Village- Benapura, Tahasil- Basta, District- Balasore. ","Non-Coal Mining","03 Jan 2016","03/01/2016","","","10/01/2016","","","","","30/01/2016","EC Granted - Processed offline"
"2471",392,"SIA/OR/MIN/406334/2022","Gudari Sand Bed- I","Non-Coal Mining","14 Nov 2022","14/11/2022","","","16/12/2022","","","22/12/2022","","07/02/2023","EC Granted"
"2472",393,"SIA/OR/MIN/79684/2018","SIDHUA RS JARIPADA SAND QUARRY OVER AN AREA OF 10.11 HA UNDER CUTTACK SADAR TAHASIL OF CUTTACK DISTRICT ODISHA","Non-Coal Mining","24 Sep 2018","24/09/2018","26/10/2018","24/09/2018","","","","","","","Delisted"
"2473",394,"SIA/OR/MIN/42262/2016","BERGAON DECORATIVE STONE MINE","Non-Coal Mining","25 Jan 2016","25/01/2016","","","30/01/2016","","","","","","Delisted"
"2474",395,"SIA/OR/IND2/21722/2018","Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit ,Main Out Still Liquor Shop Jhimidipeta, at Jhimidipeta, Tahasil- Rayagada, Dist-Rayagada","Industrial Projects - 2","24 Jan 2018","24/01/2018","","","25/01/2018","","","13/03/2018","03/04/2018","09/05/2018","EC Granted"
