"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"2349","SIA/OR/MIN/271411/2022","271411/760-MINB2/05-2022","Padmapur Sand Quarry over an area of 12.00 ac or 4.856 ha in village Padmapur of Champua Tahasil of Keonjhar district, Odisha.","TAHASILDAR CHAMPUA KEONJHAR","EC Granted","EC",NA
"2350","SIA/OR/MIN/268009/2022","268009/261-MINB2/04-2022","Proposal for grant of Environmental Clearance of Badburkabahal Stone Quarry over an area of 5.00 Acres or 2.023 Hectares in village Badburkabahal under Puintala tahasil of Balangir district.","AKASH PANDA","EC Granted","EC",NA
"2351","SIA/OR/MIN/246598/2021","246598/156-MINB2/12-2021","Proposal for Fresh EC of Uppalada Stone Quarry-I over an area of 12.107 Acres or 4.900 Hectares in village Uppalada bearing Khata No. 376, Plot No. 1370 & 1372 under Parlakhemundi Tahasil of Gajapati District, Odisha,","G. VENKATA RAMANNA","Delisted","EC",NA
"2352","SIA/OR/MIN/247690/2021","247690/164-MINB2/12-2021","Proposal for grant of E.C of Lassa sand quarry (Khata No-87, Plot No-1) over an area of 7.00 acres or 2.832 hacters in village Lassa under Kuchinda Tahasil of Sambalpur District, Odisha.","SRI. RAJIB KUMAR NAYAK","EC Granted","EC",NA
"2353","SIA/OR/MIN/247762/2021","247762/311-MINB2/06-2022","Chotoraypur-A  Stone Quarry Area is over 11.0432 Acers or 4.4691 Ha. In village Chotoraypur, Tahasil Digapahandi , District Ganjam","TEHASILDAR DIGAPAHANDI","EC Granted","EC",NA
"2354","SIA/OR/MIN/238667/2021","238667/73-MINB2/11-2021","IDIKONDA STONE QUARRY","TAHASILDAR  KALIMELA","EC Granted","EC",NA
"2355","SIA/OR/MIN/233808/2021","233808/513-MINB2/01-2022","Proposal for grant of EC in respect of KENDUGUDA STONE QUARRY-II, over an area 0.96Ac/0.39Hc in village Kenduguda, Tahasil- Jharigam, Dist- Nabarangpur, Odisha.","JHARIGAM TAHASIL","EC Granted","EC",NA
"2356","SIA/OR/MIN/287606/2022","287606/795-MINB2/08-2022","Betarsingi Stone Quarry over an area of 5.440 acres or 2.201 hectares bearing Khata no. 843, Plot no. 265 in village Betarsingi, Tahasil- Buguda, District- Ganjam State Odisha.","TAPAN PANDA","EC Granted","EC",NA
"2357","SIA/OR/MIN/265421/2022","265421/249-MINB2/04-2022","Proposal for grant of EC of BOIRBHADI STONE QUARRY over an area 2.30 acres or 0.930 hec  in village Boirbhadi under Nuapada tahasil of Nuapada district Odisha","NUAPADA TAHASIL","EC Granted","EC",NA
"2358","SIA/OR/MIN/289524/2022","289524/428-MINB2/08-2022","Proposal for grant EC of Ambaguda Stone Quarry over an area 8.75 acres or 3.541 hectares in Ambaguda village under Boden tahasil of Nuapada district Odisha.","RAJESH MEHER","Delisted","EC",NA
"2359","SIA/OR/MIN/289569/2022","289569/436-MINB2/08-2022","Andharikote-I Stone Quarry over an area of 11.530 acers or 4.666 Ha having Khata No. 238 Plot No. 564/A in the village Andharikote, Tahasil Ghumusar(Bhanjanagar) in district Ganjam, State Odisha","BHASKAR PATI","Delisted","EC",NA
"2360","SIA/OR/MIN/247586/2021","247586/177-MINB2/01-2022","Budhabalanga River Sand Bed-II Over an area of 12.32 Acres or 4.985 Hectares in Village Patalipura & Pratimadeipur under Betnoti Tahasil of Mayurbhanj District of Odisha.","TAHASILDARBETNOTIMAYURBHANJ","EC Granted","EC",NA
"2361","SIA/OR/MIN/249032/2021","249032/168-MINB2/12-2021","Proposal for grant of Environmental Clearance of Junapada Stone Quarry over an area of 2.00Acres or 0.809 Ha in village Junapada under Titlagarh Tahasil of Balangir District.","MARKANDA BAGARTY","EC Granted","EC",NA
"2362","SIA/OR/MIN/247767/2021","247767/615-MINB2/04-2022","Badakharamanga(East) Sand Quarry over an area of 12.35Acres or 4.997 hectares in village Badakharamanga of Jharpada Gram Panchayat  under Kantapada Tahasil of Cuttack District of Tahasildar, Kantapada, on Behalf of Sucessful Bidder.","TAHASILDAR,KANTAPADA","EC Granted","EC",NA
"2363","SIA/OR/MIN/249695/2022","249695/334-MINB2/07-2022","Dianghat Sand Quarry over an area of 12.355 acres or 5.00 hectares bearing Khata No. 92, Plot No. 76/A in the village Dianghat,Tahasil Harabhanga District Boudh, State Odisha","TAHASILDAR HARABHANGA","EC Granted","EC",NA
"2364","SIA/OR/MIN/269257/2022","269257/270-MINB2/04-2022","Proposal for EC of NADISUGUDA SAND BED over an area 11.85 acres or 4.795hectares in Nadisuguda village under Tangarpali tahasil in Sundargarh district Odisha","TAHASILDAR TANGARPALI","EC Granted","EC",NA
"2365","SIA/OR/MIN/251613/2022","251613/220-MINB2/02-2022","Proposal for Grant of Environmental Clearance of Panisiali Sand Quarry over an Area of 12.355 acre or 5.00 Ha. in Village Panisiali Under Sonepur tahasil in Subarnapur District","TAHASILDAR  SONEPUR","EC Granted","EC",NA
"2366","SIA/OR/MIN/249758/2022","249758/396-MINB2/08-2022","Kharabhuin Jungle-II Stone Quarry over an area of 5.00 acres or 2.023 hectares bearing Khata no. 02, Plot no. 01/A in village Kharabhuin Jungle, Tahasil- Harabhanga, District- Boudh State Odisha.","TAHASILDAR HARABHANGA","EC Granted","EC",NA
"2367","SIA/OR/MIN/246842/2021","246842/898-MINB2/03-2023","Dantia Laterite Stone Quarry Over an area of 0.70 Acre or 0.283 Hectares in village Dantia under Ghasipura Tahasil of Keonjhar District of Odisha.","SIBA CHARAN ROUT","Under examination of SEAC","EC",NA
"2368","SIA/OR/MIN/246559/2021","246559/394-MINB2/08-2022","GUNTHAPADA STONE QUARRY","TEHASILDAR ASKA","EC Granted","EC",NA
"2369","SIA/OR/MIN/287303/2022","287303/806-MINB2/08-2022","Proposal for grant of Environmental Clearance for Habaspur Sand Bed over an area of 4.135 Acres or 1.673 Hectares in village Habaspur under Junagarh tahasil of Kalahandi district.","TAHASILDAR JUNAGARH","Delisted","EC",NA
"2370","SIA/OR/MIN/287658/2022","287658/797-MINB2/08-2022","Proposal for grant of EC in respect of DHUBENPALI B SAND QUARRY over an area of 12.00Ac or 4.856Hec in village Dhubenpali under tahasil Bheden in Bargarh district Odisha","BHEDEN TAHASIL, BARGARH","EC Granted","EC",NA
"2371","SIA/OR/MIN/286294/2022","286294/392-MINB2/07-2022","Guddiha Stone Quarry Over an area of 2.45 Acre or 0.991 Hectares in village Guddiha under Gopabandhu Nagar Tahasil in Mayurbhanj District of Odisha.","TAHASILDAR GOPABANDHU NAGAR","EC Granted","EC",NA
"2372","SIA/OR/MIN/244369/2021","244369/150-MINB2/12-2021","Proposal for Grant of Environmental Clearance of Tigal Morrum Quarryover an area of 12.15 Acres or 4.920 Hect. in village Tigal under Kalimela Tahasil of Malkangiri District.","TAHASILDAR  KALIMELA","EC Granted","EC",NA
"2373","SIA/OR/MIN/241669/2021","241669/508-MINB2/12-2021","PROPOSAL FOR GRANT OF EC FOR HATIA NEW  BUILDING STONE QUARRY (KA) OVER 0.516 HECT OR 1.275 ACRES IN VILLAGE NIJAGADA TAPANGA OF KHORDHA TAHASIL OF KHORDHA DISTRICT, ODISHA","BIJAY KUMAR CHHOTRAY","EC Granted","EC",NA
"2374","SIA/OR/MIN/246374/2021","","Proposal for grant of environmental clearance of TENGANABASA SAND QUARRY over an area 12.35ac or 4.997hec in Tenganabasa village of Komna tahasil in Nuapada dist. Odisha","TAHASILDAR KOMNA","Delisted","EC",NA
"2375","SIA/OR/MIN/265280/2022","265280/247-MINB2/03-2022","Bholadanga Morrum Quarry Over an area of 11.735 Acre or 4.694 Hectares in village Bholadanga under Nilgiri Tahasil of Balasore District of Odisha.","TAHASILDAR NILGIRI","EC Granted","EC",NA
"2376","SIA/OR/MIN/266112/2022","266112/620-MINB2/04-2022","Proposal for EC Niljee Sand Quarry over an area 11.90 acre or 4.815 hectare in Niljee village of Sinapali Tahasil in Nuapada district Odisha","TAHASILDAR SINAPALI","Delisted","EC",NA
"2377","SIA/OR/MIN/266232/2022","266232/624-MINB1/04-2022","For the grant of EC of Bichhakhandi Black Stone Quarry No-2 (Cluster serial No.4A/2) (Khata No-822, Plot No-2338(p)) over an area of 5.00 acres or 2.023 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.","TAHASILDAR DHARMASALA (ON BEHALF OF SUCCESSFUL BIDDER)","EC Granted","EC",NA
"2378","SIA/OR/MIN/228164/2021","228164/102-MINB2/12-2021","BUDHABALANGA SAND BED,BELPAL OVER AN AREA OF 12.35 ACRES OR 5.00 HECTARES IN VILLAGE BELPAL UNDER BADASAHI TAHASIL OF MAYURBHANJ DISTRICT ODISHA","TAHASILDAR BADASAHI MAYURBHANJ","EC Granted","EC",NA
"2379","SIA/OR/MIN/54693/2020","54693/192-MINB1/02-2022","Kathajodi River Sand Quarry, Unit-37, Badambadi sand mine on river Kathajodi over an area of 5.06 Ha/ 12.50 Acre in village Unit-37, Badambadi, under Sadar Cuttack Tahasil of Cuttack district of Tahasildar, Sadar Cuttack","PRAFULLA SAHOO","EC Granted","EC",NA
"2380","SIA/OR/MIS/241314/2021","241314/63-MIS/11-2021","Proposed housing Project for environmental clearance of B1+B2+G+12 (A-Block) And B1+B2+G+12 (B-Block)  residential com  commercial building plan Stalwart Project Pvt Ltd in Mouza Jagamara, Bhubaneswar, Dist – Khurda, Odisha.","STALWART PROJECT PVT LTD","EC Granted","EC",NA
"2381","SIA/OR/MIN/244347/2021","244347/118-MINB2/12-2021","JENAPADA LATERITE STONE QUARRY OVER AN AREA OF 12.35 ACRES OR 4.997 HECTARES IN VILLAGE JENAPADA UNDER GHASIPURA TAHASIL IN KEONJHAR DISTRICT ODISHA","SRI RAJENDRA SWAIN","EC Granted","EC",NA
"2382","SIA/OR/MIN/245372/2021","245372/713-MINB2/04-2022","KALABADA RIVER SABD BED- II, OVER AN AREA 5.00 Ha. KHATA NO: 525, PLOT NO: 2395/B, AT: KALABADA, TAHASIL: CHIKITI, DIST: GANJAM, ODISHA.","TAHASILDAR CHIKITI","EC Granted","EC",NA
"2383","SIA/OR/MIN/277492/2022","277492/738-MINB2/06-2022","Majhiguda Stone Quarry over an area of 10.00 Acers or 4.046 Ha having Khata No. 12, Plot No. 52 in the village Majhiguda, Tahasil Dasamantpur in District Koraput, State Odisha","TAHASILDAR DASAMANTPUR","EC Granted","EC",NA
"2384","SIA/OR/MIN/76074/2020","76074/643-MINB1/04-2022","For the grant of EC of Dankari Black Stone quarry No-4/7 (Cluster Serial No-5C/5), (Khata No-465, Plot No-1596(p),2006) over an area of 12.50 acres or 5.058 hacters in village Dankari under Dharmasala Tahasil of Jajpur District, Odisha.","NIRANJAN ROUT","EC Granted","EC",NA
"2385","SIA/OR/MIN/271738/2022","","EC for Loisingh Sand Bed B over an area of 4.05 ha or 10.00 ac at Loisingh  Dist Jharsuguda in Odisha","PRITI DAS","Delisted","EC",NA
"2386","SIA/OR/MIN/64886/2017","64886/1861-NCM/05-2017","SAMASINGHA & SODAMAL SAND BED - A","SRI RUDRA MAHAPATRA","Delisted","EC",NA
"2387","SIA/OR/MIN/266248/2022","266248/242-MINB2/04-2022","Chitrotpala River Sand Sairat Korua over an area of 4.734 ha under Garadpur Tahasil of Kendrapara District Odisha","TAHASILDAR GARADPUR","Rejection Letter Granted","EC",NA
"2388","SIA/OR/MIN/257045/2022","","Kutikia Stone Quarry over an area of 6.058 acres or 2.452 hectares bearing Khata no. 230, Plot no. 1597 in Kutikia village of Balliguda Tahasil, District- Kandhamal State Odisha","TAHASILDAR BALLIGUDA","Delisted","EC",NA
"2389","SIA/OR/MIS/257303/2022","257303/14-MIS-V/01-2023","Expansion of Residential-cum-Commercial complex “Mani Tribhuvan” (Previously known as Mani Tirumala)","MANI TIRUMALA PROJECTS PVT LTD","Deferred by SEAC","EC",NA
"2390","SIA/OR/MIN/56648/2020","56648/95-MINB1/08-2022","","MD. IRFAN RAZZAK","EC Granted","EC",NA
"2391","SIA/OR/MIN/289802/2022","289802/804-MINB2/08-2022","Fresh EC proposal of Dhudhalmunda Stone quarry No-3 over an area of 2.55 acres or 1.03 hectares (under Cluster approach of total cluster area-6.94Acres or 2.811ha) in village Dhudhalmunda under Jujomura Tahasil of Sambalpur District, Odisha.","DHIRAJ AGRAWALLA","Rejection Letter Granted","EC",NA
"2392","SIA/OR/MIN/42352/2016","42352/1283-NCM/01-2016","Dobalapal Stone Quarry Over lease area of 6.380 acres/2.580 ha located at Village- Dobalapal, Tahasil- Telkoi, District- Keonjhar","KUNA SAHU","Delisted","EC",NA
"2393","SIA/OR/MIN/409600/2022","","Kaptipada-Beldiha Sand Bed Over an area of 12.35 Acres or 4.99 hectares in village Kaptipada & Beldiha under Kaptipada Tahasil of Mayurbhanj District of Odisha.","Revenue and Disaster Management Department","Pending at PP due to eds","EC",NA
"2394","SIA/OR/NCP/72000/2018","72000/29-NCP/01-2018","Proposed Residential Complex ""Shantivan Colony""","Mr. Santosh K. Mohapatra","EC Granted","EC",NA
"2395","SIA/OR/MIN/403335/2022","403335/830-MINB2/11-2022","Goganda- II Stone Quarry","RAMANI PATI","EC Granted","EC",NA
"2396","SIA/OR/MIN/227044/2021","","Chhaporikoilima Stone Quarry over an area of 2.00Acres or 0.809hectares in village Chhapori- koilima  of Lodhachua Gram Panchayat Under Ranpur Tahasil of Nayagarh District of Odisha","BIBHUTI  PRADHAN","WithdrawEC","EC",NA
"2397","SIA/OR/MIN/42960/2016","42960/1378-NCM/01-2016","HATIA STONE QUARRY","CHITTA RANJAN SWAIN","Delisted","EC",NA
"2398","SIA/OR/IND2/22475/2018","22475/230-IND2/03-2018","Salepali O.S.Shop","KP SAHU AND DP SAHU","EC Granted","EC",NA
"2399","SIA/OR/MIN/69345/2017","69345/1909-NCM/09-2017","TENTULIA SAND QUARRY","RAJKISHORE NAYAK","EC Granted","EC",NA
"2400","SIA/OR/MIN/50815/2016","50815/1575-NCM/04-2016","Arakhapur-B Stone Quarry Over lease area of 16.80 acres/6.799 ha located at Village- Arakhapur, Tahasil- Purushottampur, District- Ganjam","PRASANTA KUMAR MAHAPATRA","EC Granted - Processed offline","EC",NA
"2401","SIA/OR/MIN/21811/2018","21811/1957-NCM/01-2018","BANIASAHI KAKUDIBHAG SAND QUARRY","ANTARYAMI PANDA","EC Granted","EC",NA
"2402","SIA/OR/MIN/42353/2016","42353/1284-NCM/01-2016","Telkoi Sand Quarry Over lease area of 38.450 acres/15.560 ha located at Village- Telkoi, Tahasil- Telkoi, District- Keonjhar","SATYANANDA BISWAL","EC Granted - Processed offline","EC",NA
"2403","SIA/OR/MIN/59830/2016","59830/1725-NCM/10-2016","Nua Mahulpalli Sand Bed over an area of 15.70 Acre or 6.35 Ha in Jujomura Tahasil of Sambalpur District, Odisha.","TAHASILDAR JUJOMURA","EC Granted","EC",NA
"2404","SIA/OR/MIN/75739/2018","75739/1999-NCM/07-2018","Kurumunda Sand Quarry","JYOTI TALUJA","Rejected - Processed offline","EC",NA
"2405","SIA/OR/MIN/402644/2022","","Kalingadola Sand Bed, over an area 6.639 Ha, Khata No- 270, Plot No- 575 At- Kalingadola, Tahasil- Digapahandi, Dist- Ganjam, Odisha of M/s. Premex","M/S PREMEX","Under examination of SEIAA","EC",NA
"2406","SIA/OR/IND2/21652/2018","21652/88-IND2/01-2018","Proposed Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Dhandamunda Main Out Still Shop at Dhandamunda, Tehsil- Patnagarh, PS- Khaprakhol, Dist- Balangir","SANJAAY KUMAR SAHU","EC Granted","EC",NA
"2407","SIA/OR/IND2/26068/2018","26068/407-IND2/05-2018","Golanthara O.S. Shop","SRI SHAMAGHANA SAHU","EC Granted","EC",NA
"2408","SIA/OR/IND2/21786/2018","21786/117-IND2/01-2018","1620 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED NAKTIGUDA OS SHOP","LAXMI NARAYAN MANMOHNLAL","EC Granted","EC",NA
"2409","SIA/OR/MIN/428282/2023","","BALIPOSI STONE QUARRY OVER AN AREA OF 7.939 ACRES OR 3.213 HECTARES IN VILLAGE BALIPOSI UNDER SUKRULI TAHASIL IN MAYURBHANJ DISTRICT, ODISHA.","KALYAN SARKAR","Under examination of SEIAA","EC",NA
"2410","SIA/OR/MIN/407443/2022","407443/318-MINB1/02-2023","Mundilo - Patenigaon Devi Nadi Sand Quarry","SUSIL KUMAR MOHANTY","ADS by SEAC","EC",NA
"2411","SIA/OR/IND2/22322/2018","22322/202-IND2/03-2018","Dhama O.S. Shop","ZEYARAT ALI","EC Granted","EC",NA
"2412","SIA/OR/MIN/406469/2022","","Kusupanga Brahmani Sand Quarry","Public Works Department","Pending at PP due to eds","EC",NA
"2413","SIA/OR/MIN/425424/2023","425424/589-MINB1/03-2023","Proposal for Fresh EC of Naragaon Decorative Stone Mine over 2.918 ha. in village Naragaon under Kundra tehasil of Koraput district, Odisha of M/s. Sustainable Mining Services.","ASHOK MOHAPATRA","Agenda Uploaded by SEAC","EC",NA
"2414","SIA/OR/MIN/60362/2016","60362/1737-NCM/11-2016","BALANGA SAND BED,TUNAGAMBHARIA","AMIR KUMAR NAYAK","EC Granted","EC",NA
"2415","SIA/OR/MIN/50631/2016","50631/1559-NCM/03-2016","ARADA STONE QUARRY","PRAMOD KUMAR PARIDA","EC Granted - Processed offline","EC",NA
"2416","SIA/OR/MIN/226832/2021","226832/15-MINB2/08-2021","Dhania New Building Stone Quarry (Jha)","SHRI RAJENDRA PRASAD SINGH","EC Granted","EC",NA
"2417","SIA/OR/MIN/49217/2016","","Tangisahi Nuagaon Stone Quarry Over lease area of 3.77 acres located at Village- Tangisahi Nuagaon, Tahasil- Khandapada, District- Nayagarh","JUGAL KISHORE PRADHAN","Delisted","EC",NA
"2418","SIA/OR/IND2/22716/2018","22716/297-IND2/03-2018","Bhadra O.S. Shop","BHOLANATH SAHOO","EC Granted","EC",NA
"2419","SIA/OR/MIN/67139/2017","67139/1900-NCM/08-2017","DASANALI SAND QUARRY","BIKRAM SINGH SAMAL","Rejection Letter Granted","EC",NA
"2420","SIA/OR/MIN/28918/2018","28918/42-NCM-V/12-2020","Expansion of Iron Ore Production from 52,531 Ton per Annum (TPA) to 4,00,120 TPA (5,71,600 TPA Iron Ore ROM) along with setting up a 200 Ton per Hour (TPH) Crushing & Screening Plant and a 100 TPH Beneficiation Plant (2,10,000 TPA   Throughput) within the Mining Lease Area of 65.397 Hectare (ha) of Baitarani Iron Ore Mine in Baitarani R.F Near Village: Inganijharan, Post: Daduan, Tehsil: Barbil, District: Keonjhar, Odisha","Sri Sunandan Pradhan","EC Granted","EC",NA
"2421","SIA/OR/NCP/64476/2017","64476/23-NCP/05-2017","Proposed Eco-Tourism Project ""Sri Jagannath Enclave""","IDCO","EC Granted","EC",NA
"2422","SIA/OR/MIN/403864/2022","","Ambilapalli- B Stone Quarry over an area of 2.00 acres or 0.809 hectares bearing Khata no. 449, Plot no. 1554 in village Ambilapalli, Tahasil Purushottampur, District Ganjam State Odisha.","TAHASILDAR PURUSHOTTAMPUR","Pending at PP due to eds","EC",NA
"2423","SIA/OR/MIN/57282/2016","57282/1673-NCM/07-2016","K.Nuagam Sand Quarry","SRI BHIMASEN DALAI","EC Granted - Processed offline","EC",NA
"2424","SIA/OR/MIN/418758/2023","","Nizigarhbaramba Stone Quarry Over an area of 4.755 Ha in Village Nizigarhbaramba Under  Baramba Tahasil of Cuttack District, Odisha","BIJOY ROUT","Pending at PP due to eds","EC",NA
"2425","SIA/OR/IND2/23351/2018","23351/359-IND2/04-2018","Dhudhuriam O.S. Shop of Sri Jagdish Sahu","DHUDHURIAM OS SHOP","EC Granted","EC",NA
"2426","SIA/OR/IND2/21896/2018","21896/140-IND2/02-2018","810 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED AMATHOLA OS SHOP","LAXMI NARAYAN MANMOHNLAL","EC Granted","EC",NA
"2427","SIA/OR/MIN/405939/2022","","Kumbhari Sand Bed","NANDA TANDI","Pending at PP due to eds","EC",NA
"2428","SIA/OR/MIN/80069/2018","","Parsurampur Decorative Stone Deposit over 10.513 ha. of Sri K. Saptagiri","K SAPTAGIRI","Delisted","EC",NA
"2429","SIA/OR/MIN/50424/2016","50424/1516-NCM/03-2016","Charapada sand quarry on Kharasrota River","NRUSINGHA CHARAN ROUT","EC Granted - Processed offline","EC",NA
"2430","SIA/OR/IND2/26187/2018","26187/429-IND2/05-2018","1032 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED NANDIKA MAIN OUT STILL  SHOP","KASI SWAIN","EC Granted","EC",NA
"2431","SIA/OR/INFRA2/408179/2022","408179/105-INFRA2/01-2023","Construction of Corporate Office","ODISHA MINING CORPORATION LIMITED","EC Granted","EC",NA
"2432","SIA/OR/MIN/417359/2023","","Proposal for Fresh Environmental Clearance of Ghasian Sand Quarry over an area of 12.00 Acres or 4.856 Hectares in village Ghasian under Patnagarh tahasil of Balangir district.","BHAKTA PATEL","Pending at PP due to eds","EC",NA
"2433","SIA/OR/MIN/81084/2021","81084/300-MINB1/08-2022","Dhanarasi  Sand  Quarry Project on Bahuda River","SMT LAXMI SETHI","EC Granted","EC",NA
"2434","SIA/OR/MIN/241471/2021","241471/602-MINB2/12-2021","Bhandarimal Stone Quarry","SUDIP KUMAR NATH","EC Granted","EC",NA
"2435","SIA/OR/MIN/241457/2021","241457/799-MINB2/08-2022","NAHADA ROAD METAL QUARRY- III","AJIT  SAHU","EC Granted","EC",NA
"2436","SIA/OR/IND2/28181/2018","28181/503-IND2/07-2018","Chekaguda Out-Still Liquor Shop","RAJESHKUMAR SAHU","EC Granted","EC",NA
"2437","SIA/OR/MIN/270602/2022","270602/720-MINB2/04-2022","Proposal for Fresh EC of Ranibandha Stone Quarry over an area of 7.00 Acres or 2.833Ha at Village-Ranibandha, Tahasil-Athamallik, Dist-Anugul, Odisha of Tahasildar, Athamallik","TAHASILDAR, ATHAMALLIK","EC Granted","EC",NA
"2438","SIA/OR/MIN/63731/2017","63731/1827-NCM/04-2017","River Block (Kha) Sand Bed","RAJESHH KUMAR KHATUA","EC Granted","EC",NA
"2439","SIA/OR/IND2/25925/2018","25925/386-IND2/04-2018","690 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED GOVINDAPUR MAIN OS SHOP","SANJAYA PRASAD","EC Granted","EC",NA
"2440","SIA/OR/MIN/35902/2015","SEIAA/35902/989-NCM/12-2015","KALADAHI STONE QUARRY NO. 03","PARSURAM MISHRA","Delisted","EC",NA
"2441","SIA/OR/MIN/262463/2022","262463/730-MINB2/05-2022","Proposal for Fresh EC of Bautiragada Road Metal Quarry No.II over an area of 3.66 Acres or  1.48 Hectares at village Bautiragada under Odapada Tahasil District Dhenkanal. Odisha ( submitted under Cluster approach of Total Cluster area-4.036 Hectares","MANAS BISWAL","EC Granted","EC",NA
"2442","SIA/OR/MIN/50529/2016","","Ekalpur Stone Quarry","ASHOK KUMAR DAS","Delisted","EC",NA
"2443","SIA/OR/MIN/423756/2023","423756/808-MINB1/03-2023","ENVIRONMENT CLEARANCE OF JAHADA SAND QUARRY OVER AN AREA OF 18.788 ACRES/7.603 HA AT VILLAGE JAHADA OF TAHASIL-DHARAKOTE IN DISTRICT GANJAM, ODISHA","KESHA DORA","Agenda Uploaded by SEAC","EC",NA
"2444","SIA/OR/MIN/41494/2016","41494/1219-NCM/01-2016","Kolab River Sand Bed Over lease area of 12.62 acres/5.093 ha located at Village- Kutilpadar, Tahasil- Kundra, District- Koraput","SRIHARI PANDA","EC Granted - Processed offline","EC",NA
"2445","SIA/OR/IND2/20757/2016","20757/14-IND2/10-2017","Bharat Petroleum Corporation Ltd","BHARAT PETROLEUM CORPORATION LTD BALASORE","EC Granted - Processed offline","EC",NA
"2446","SIA/OR/MIN/404520/2022","404520/784-MINB1/01-2023","Baitarani Sand Bed Mine on Baitarani River over an area of 5.058 Ha/12.50 Acre in village Tampo, under Ghasipura Tahasil of Keonjhar District, Odisha.","SRI HRUSHIKESH JENA","Deferred by SEAC","EC",NA
"2447","SIA/OR/MIN/423067/2023","423067/905-MINB2/03-2023","Rahadpur BSQ 10 over an area of 2.83 Ha in village Rahadpur,  Dharmasala Tahasil, Jajpur","SRI SAI CONSTRUCTIONS","EC Granted","EC",NA
"2448","SIA/OR/IND2/21836/2018","21836/162-IND2/02-2018","Pitamahul O.S. Shop with a branch at Subalaya","SARJAN SAHU","EC Granted","EC",NA
"2449","SIA/OR/MIN/38992/2016","SEIAA/38992/1091-NCM/01-2016","CHATARAPADA STONE QUARRY","NASIRUDDIN KHAN","Delisted","EC",NA
"2450","SIA/OR/MIN/49782/2016","","INDKHOLI STONE QUARRY","DHIREN KUMAR MISHRA","Delisted","EC",NA
"2451","SIA/OR/IND2/26160/2018","26160/421-IND2/05-2018","Pandua OS Shop","RAJASHREE MISHRA","EC Granted","EC",NA
"2452","SIA/OR/IND2/22485/2018","22485/231-IND2/03-2018","Bijepur Out Still Shop","DILLIP KR GUPTA","EC Granted","EC",NA
"2453","SIA/OR/MIN/81331/2018","","Tabadabahal stone quarry","MS SHREE BALAJI ENGICONS PVT LTD","Delisted","EC",NA
"2454","SIA/OR/MIN/62282/2017","62282/1818-NCM/03-2017","Maheswarpur and Kondelguda sand quarry of Sri Ramesh Kumar Patnaik over an area of 5.796 Ha.","RAMESH KUMAR PATNAIK","EC Granted","EC",NA
"2455","SIA/OR/MIN/58054/2016","58054/1695-NCM/08-2016","Sand Sairat Arakhakud (Chitrotpala river) of garadarpur tahasil in kendrapara district.","SUBHAM BARIK","EC Granted","EC",NA
"2456","SIA/OR/MIN/42366/2016","42366/1296-NCM/01-2016","Kangira Nadi Sand Mining Over lease area of 12.45 acres and 2.24 acres located at Village- Sholghara, Tahasil- Raruan, District- Mayurbhanj","SASHIBHUSHAN GIRI","EC Granted - Processed offline","EC",NA
"2457","SIA/OR/MIN/42234/2016","42234/1267-NCM/01-2016","ASANA STONE QUARRY","DINESH CHANDRA DAS","Delisted","EC",NA
"2458","SIA/OR/IND2/28128/2018","28128/500-IND2/07-2018","Niktimal O.S. Shop","RAJENDRA PRASAD JAISWAL","EC Granted","EC",NA
"2459","SIA/OR/MIN/422523/2023","","Jharipadar- I & II Stone Quarries Cluster over an area of 18.00 acres or 7.2846 hectares in village Jharipadar, Tahasil- Digapahandi, District- Ganjam State Odisha submitted under cluster approach with consisting of 2 stone quarries","TEHASILDAR DIGAPAHANDI","Under examination of SEIAA","EC",NA
"2460","SIA/OR/MIN/50810/2016","50810/1579-NCM/04-2016","Bhatakumarada Stone Quarry-C Over lease area of 13.00 acres located at Village- Bhatakumarada, Tahasil- Purushottampur, District- Ganjam","BABU JENA","EC Granted","EC",NA
"2461","SIA/OR/MIN/50673/2016","","KAIPADAR NEW STONE QUARRY","BHARAT BHUSAN SAMAL","Delisted","EC",NA
"2462","SIA/OR/MIN/76101/2018","76101/2017-NCM/08-2018","K Samasingha Sand Bed","PRIYANANDA PATEL","Delisted","EC",NA
"2463","SIA/OR/MIN/414174/2023","","Dargula Sand Quarry-I, Dargula over an area of 6.26 acres or 2.53 Hectares in village Dargula, Tahasil Dabugaon, District Nabarangpur, State Odisha submitted under cluster approach with total cluster area 6.69 Hectares with consisting of 2 sand quarries.","PABAN KUCHALUPATI","Pending at PP due to eds","EC",NA
"2464","SIA/OR/INFRA2/412673/2023","412673/1502-MIS/01-2023","Proposed Residential Building Project 'Empire Twins' of B+S+16 storied Blocks (A & B) at Mouza- Jagasara, Bhubaneswar, Dist- Khordha, Odisha of M/s. Evos Buildcon Pvt. Ltd.","EVOS BUILDCON PRIVATE LIMITED","Deferred by SEAC","EC",NA
