Sl_No,Proposal,FormType
8731,SIA/MH/MIS/289240/2022,Form-1
8732,SIA/MH/MIN/410231/2022,Parivesh
8733,SIA/MH/IND2/413188/2023,Parivesh
8734,SIA/MH/MIN/409377/2022,Parivesh
8735,SIA/MH/MIN/425827/2023,Parivesh
8736,SIA/MH/INFRA2/427478/2023,Parivesh
8737,SIA/MH/MIN/428061/2023,Parivesh
8738,SIA/MH/INFRA2/421606/2023,Parivesh
8739,SIA/MH/INFRA2/422830/2023,Parivesh
8740,SIA/MH/MIS/235460/2021,Form-1
8741,SIA/MH/MIN/235511/2021,Form-2
8742,SIA/MH/MIS/176142/2020,Form-1
8743,SIA/MH/MIN/153258/2020,Form-2
8744,SIA/MH/MIS/69423/2021,Form-2
8745,SIA/MH/MIN/409347/2022,Parivesh
8746,SIA/MH/MIN/260342/2022,Form-2
8747,SIA/MH/MIS/261836/2022,Form-1
8748,SIA/MH/MIS/287707/2022,Form-1
8749,SIA/MH/MIS/288339/2022,Form-1
8750,SIA/MH/MIN/405314/2022,Parivesh
8751,SIA/MH/INFRA2/406673/2022,Parivesh
8752,SIA/MH/MIN/425345/2023,Parivesh
8753,SIA/MH/MIN/425344/2023,Parivesh
8754,SIA/MH/INFRA2/423492/2023,Parivesh
8755,SIA/MH/MIS/80997/2021,Form-2
8756,SIA/MH/INFRA2/425378/2023,Parivesh
8757,SIA/MH/MIN/423593/2023,Parivesh
8758,SIA/MH/MIS/274649/2022,Form-1
8759,SIA/MH/INFRA2/415186/2023,Parivesh
8760,SIA/MH/MIN/414425/2023,Parivesh
8761,SIA/MH/MIS/239232/2021,Form-1
8762,SIA/MH/MIN/415394/2023,Parivesh
8763,SIA/MH/MIN/416341/2023,Parivesh
8764,SIA/MH/INFRA2/416115/2023,Parivesh
8765,SIA/MH/MIN/416409/2023,Parivesh
8766,SIA/MH/MIN/416410/2023,Parivesh
8767,SIA/MH/INFRA2/412103/2023,Parivesh
8768,SIA/MH/MIS/284914/2022,Form-2
8769,SIA/MH/MIN/418618/2023,Parivesh
8770,SIA/MH/MIN/419451/2023,Parivesh
8771,SIA/MH/MIN/419360/2023,Parivesh
8772,SIA/MH/MIN/419579/2023,Parivesh
8773,SIA/MH/INFRA2/418997/2023,Parivesh
8774,SIA/MH/INFRA2/419383/2023,Parivesh
8775,SIA/MH/INFRA2/415442/2023,Parivesh
8776,SIA/MH/INFRA2/411874/2022,Parivesh
8777,SIA/MH/MIN/410338/2022,Parivesh
8778,SIA/MH/MIN/424544/2023,Parivesh
8779,SIA/MH/INFRA2/426030/2023,Parivesh
8780,SIA/MH/INFRA2/424988/2023,Parivesh
8781,SIA/MH/INFRA2/426913/2023,Parivesh
8782,SIA/MH/MIN/424294/2023,Parivesh
8783,SIA/MH/INFRA2/427412/2023,Parivesh
8784,SIA/MH/INFRA2/430429/2023,Parivesh
8785,SIA/MH/MIS/202780/2021,Form-1
8786,SIA/MH/MIN/407148/2022,Parivesh
8787,SIA/MH/MIS/242125/2021,Form-1
8788,SIA/MH/INFRA2/429972/2023,Parivesh
8789,SIA/MH/INFRA2/423158/2023,Parivesh
8790,SIA/MH/MIN/420783/2023,Parivesh
8791,SIA/MH/MIN/422894/2023,Parivesh
8792,SIA/MH/INFRA2/420829/2023,Parivesh
8793,SIA/MH/MIN/145921/2020,Form-2
8794,SIA/MH/IND2/54929/2019,Form-2
8795,SIA/MH/INFRA2/420668/2023,Parivesh
8796,SIA/MH/MIN/421146/2023,Parivesh
8797,SIA/MH/MIN/421153/2023,Parivesh
8798,SIA/MH/INFRA2/433372/2023,Parivesh
8799,SIA/MH/INFRA2/432757/2023,Parivesh
8800,SIA/MH/INFRA2/432456/2023,Parivesh
8801,SIA/MH/MIS/277218/2022,Form-1
8802,SIA/MH/MIN/414076/2023,Parivesh
8803,SIA/MH/MIN/413368/2023,Parivesh
8804,SIA/MH/MIN/413373/2023,Parivesh
8805,SIA/MH/INFRA2/424793/2023,Parivesh
8806,SIA/MH/INFRA2/424159/2023,Parivesh
8807,SIA/MH/INFRA2/427296/2023,Parivesh
8808,SIA/MH/INFRA2/431781/2023,Parivesh
8809,SIA/MH/MIN/424298/2023,Parivesh
8810,SIA/MH/INFRA2/428409/2023,Parivesh
8811,SIA/MH/INFRA2/430037/2023,Parivesh
8812,SIA/MH/MIN/32909/2015,Missing
8813,SIA/MH/MIN/41986/2016,Missing
8814,SIA/MH/MIN/245729/2021,Form-2
8815,SIA/MH/MIS/81646/2017,Form-2
8816,SIA/MH/INFRA2/407301/2022,Parivesh
8817,SIA/MH/MIN/407732/2022,Parivesh
8818,SIA/MH/INFRA2/407884/2022,Parivesh
8819,SIA/MH/MIS/182302/2020,Form-1
8820,SIA/MH/MIS/246768/2021,Form-1
8821,SIA/MH/MIN/241256/2021,Form-2
8822,SIA/MH/IND3/69546/2016,Form-2
8823,SIA/MH/MIN/241470/2021,Form-2
8824,SIA/MH/MIN/241998/2021,Form-2
8825,SIA/MH/MIN/416073/2023,Parivesh
8826,SIA/MH/MIN/419416/2023,Parivesh
8827,SIA/MH/MIS/288907/2022,Form-1
8828,SIA/MH/MIS/289485/2022,Form-1
8829,SIA/MH/MIS/285967/2022,Form-1
8830,SIA/MH/MIS/81243/2021,Form-2
8831,SIA/MH/MIN/286592/2022,Form-2
8832,SIA/MH/MIN/425539/2023,Parivesh
8833,SIA/MH/INFRA2/419786/2023,Parivesh
8834,SIA/MH/MIN/425418/2023,Parivesh
8835,SIA/MH/IND3/425555/2023,Parivesh
8836,SIA/MH/MIN/412220/2023,Parivesh
8837,SIA/MH/MIN/410522/2022,Parivesh
8838,SIA/MH/MIN/410424/2022,Parivesh
8839,SIA/MH/MIN/411402/2022,Parivesh
8840,SIA/MH/MIS/262339/2022,Form-1
8841,SIA/MH/MIS/262341/2022,Form-1
8842,SIA/MH/MIS/287139/2022,Form-1
8843,SIA/MH/MIN/425096/2023,Parivesh
8844,SIA/MH/INFRA2/425358/2023,Parivesh
8845,SIA/MH/IND3/81886/2022,Form-2
8846,SIA/MH/MIN/419717/2023,Parivesh
8847,SIA/MH/MIN/418563/2023,Parivesh
8848,SIA/MH/MIN/419528/2023,Parivesh
8849,SIA/MH/MIN/419456/2023,Parivesh
8850,SIA/MH/MIN/420645/2023,Parivesh
8851,SIA/MH/MIS/76044/2021,Form-2
8852,SIA/MH/NCP/52445/2016,Missing
8853,SIA/MH/MIS/53258/2016,Missing
8854,SIA/MH/MIN/408180/2022,Parivesh
8855,SIA/MH/INFRA2/401478/2022,Parivesh
8856,SIA/MH/INFRA2/405688/2022,Parivesh
8857,SIA/MH/MIN/428398/2023,Parivesh
8858,SIA/MH/MIN/260690/2022,Form-2
8859,SIA/MH/MIS/279311/2022,Form-1
8860,SIA/MH/INFRA2/402456/2022,Parivesh
8861,SIA/MH/INFRA2/428018/2023,Parivesh
8862,SIA/MH/INFRA2/427409/2023,Parivesh
8863,SIA/MH/MIN/428608/2023,Parivesh
8864,SIA/MH/INFRA2/428017/2023,Parivesh
8865,SIA/MH/INFRA2/428774/2023,Parivesh
8866,SIA/MH/INFRA2/432411/2023,Parivesh
8867,SIA/MH/NCP/58726/2016,Missing
8868,SIA/MH/NCP/66851/2017,Missing
8869,SIA/MH/MIN/407339/2022,Parivesh
8870,SIA/MH/INFRA2/401653/2022,Parivesh
8871,SIA/MH/INFRA2/429437/2023,Parivesh
8872,SIA/MH/INFRA2/424139/2023,Parivesh
8873,SIA/MH/INFRA2/426455/2023,Parivesh
8874,SIA/MH/MIN/421999/2023,Parivesh
8875,SIA/MH/MIS/290748/2022,Form-1
8876,SIA/MH/MIN/31371/2015,Missing
8877,SIA/MH/INFRA2/402089/2022,Parivesh
8878,SIA/MH/MIN/421689/2023,Parivesh
8879,SIA/MH/MIN/422027/2023,Parivesh
8880,SIA/MH/INFRA2/422232/2023,Parivesh
8881,SIA/MH/INFRA2/421615/2023,Parivesh
8882,SIA/MH/INFRA2/432542/2023,Parivesh
8883,SIA/MH/INFRA2/422387/2023,Parivesh
8884,SIA/MH/MIN/410609/2022,Parivesh
8885,SIA/MH/INFRA2/411704/2022,Parivesh
8886,SIA/MH/INFRA2/401061/2022,Parivesh
8887,SIA/MH/MIN/408221/2022,Parivesh
8888,SIA/MH/INFRA2/401890/2022,Parivesh
8889,SIA/MH/MIN/408858/2022,Parivesh
8890,SIA/MH/INFRA2/428057/2023,Parivesh
8891,SIA/MH/INFRA2/427510/2023,Parivesh
8892,SIA/MH/MIN/428840/2023,Parivesh
8893,SIA/MH/INFRA2/425565/2023,Parivesh
8894,SIA/MH/MIN/429271/2023,Parivesh
8895,SIA/MH/INFRA2/427370/2023,Parivesh
8896,SIA/MH/INFRA2/413072/2023,Parivesh
8897,SIA/MH/MIN/264247/2022,Form-2
8898,SIA/MH/MIN/413399/2023,Parivesh
8899,SIA/MH/MIN/418638/2023,Parivesh
8900,SIA/MH/MIN/404594/2022,Parivesh
8901,SIA/MH/INFRA2/424828/2023,Parivesh
8902,SIA/MH/MIN/424100/2023,Parivesh
8903,SIA/MH/MIS/257465/2022,Form-2
8904,SIA/MH/MIN/257123/2022,Form-2
8905,SIA/MH/MIS/165551/2020,Form-1
8906,SIA/MH/MIS/167891/2020,Form-1
8907,SIA/MH/NCP/88465/2018,Missing
8908,SIA/MH/MIN/234483/2021,Form-2
8909,SIA/MH/INFRA2/424965/2023,Parivesh
8910,SIA/MH/MIN/164060/2020,Form-2
8911,SIA/MH/MIN/138387/2020,Form-2
8912,SIA/MH/MIN/234423/2021,Form-2
8913,SIA/MH/MIN/234453/2021,Form-2
8914,SIA/MH/MIN/260481/2022,Form-2
8915,SIA/MH/MIN/409476/2022,Parivesh
8916,SIA/MH/INFRA2/406981/2022,Parivesh
8917,SIA/MH/MIN/412609/2022,Parivesh
8918,SIA/MH/MIN/413367/2023,Parivesh
8919,SIA/MH/MIN/413396/2023,Parivesh
8920,SIA/MH/INFRA2/416675/2023,Parivesh
8921,SIA/MH/MIN/409333/2022,Parivesh
8922,SIA/MH/MIN/237732/2021,Form-2
8923,SIA/MH/MIS/261430/2022,Form-1
8924,SIA/MH/MIN/252708/2022,Form-2
8925,SIA/MH/MIN/252772/2022,Form-2
8926,SIA/MH/MIN/252816/2022,Form-2
8927,SIA/MH/MIS/274622/2022,Form-1
8928,SIA/MH/INFRA1/411315/2022,Parivesh
8929,SIA/MH/MIN/160973/2020,Form-2
8930,SIA/MH/MIS/205170/2021,Form-2
8931,SIA/MH/MIS/53490/2016,Missing
8932,SIA/MH/MIS/55898/2020,Form-2
8933,SIA/MH/MIN/249473/2022,Form-2
8934,SIA/MH/MIN/248407/2021,Form-2
8935,SIA/MH/MIS/247351/2021,Form-1
8936,SIA/MH/MIN/263703/2022,Form-2
8937,SIA/MH/MIS/233364/2021,Form-1
8938,SIA/MH/MIS/235817/2021,Form-1
8939,SIA/MH/MIN/243841/2021,Form-2
8940,SIA/MH/MIN/243876/2021,Form-2
8941,SIA/MH/MIN/244725/2021,Form-2
8942,SIA/MH/MIS/244995/2021,Form-1
8943,SIA/MH/MIN/245044/2021,Form-2
8944,SIA/MH/MIS/246461/2021,Form-1
8945,SIA/MH/MIN/405425/2022,Parivesh
8946,SIA/MH/INFRA2/405451/2022,Parivesh
8947,SIA/MH/INFRA2/405922/2022,Parivesh
8948,SIA/MH/MIN/429052/2023,Parivesh
8949,SIA/MH/MIN/425575/2023,Parivesh
8950,SIA/MH/INFRA2/429719/2023,Parivesh
8951,SIA/MH/IND2/207189/2021,Form-1
8952,SIA/MH/MIN/31926/2015,Missing
8953,SIA/MH/MIN/191225/2021,Form-2
8954,SIA/MH/MIN/191233/2021,Form-2
8955,SIA/MH/MIN/191310/2021,Form-2
8956,SIA/MH/MIS/282469/2022,Form-1
8957,SIA/MH/MIS/281855/2022,Form-1
8958,SIA/MH/MIS/281889/2022,Form-1
8959,SIA/MH/MIS/283229/2022,Form-2
8960,SIA/MH/MIN/283230/2022,Form-2
8961,SIA/MH/MIS/261467/2022,Form-1
8962,SIA/MH/MIN/41894/2016,Missing
8963,SIA/MH/MIN/40774/2016,Missing
8964,SIA/MH/MIN/414236/2023,Parivesh
8965,SIA/MH/MIN/412691/2022,Parivesh
8966,SIA/MH/INFRA2/417683/2023,Parivesh
8967,SIA/MH/MIN/417010/2023,Parivesh
8968,SIA/MH/MIN/416850/2023,Parivesh
8969,SIA/MH/INFRA2/417564/2023,Parivesh
8970,SIA/MH/MIS/281140/2022,Form-1
8971,SIA/MH/MIN/414120/2023,Parivesh
8972,SIA/MH/IND2/82466/2020,Form-2
8973,SIA/MH/MIN/288509/2022,Form-2
8974,SIA/MH/MIN/400121/2022,Parivesh
8975,SIA/MH/MIN/401004/2022,Parivesh
8976,SIA/MH/INFRA2/401676/2022,Parivesh
8977,SIA/MH/INFRA2/401646/2022,Parivesh
8978,SIA/MH/INFRA2/422905/2023,Parivesh
8979,SIA/MH/INFRA2/410988/2022,Parivesh
8980,SIA/MH/MIN/252623/2022,Form-2
8981,SIA/MH/MIN/252799/2022,Form-2
8982,SIA/MH/MIN/249191/2021,Form-2
8983,SIA/MH/MIN/250106/2022,Form-2
8984,SIA/MH/MIN/408748/2022,Parivesh
8985,SIA/MH/INFRA2/410681/2022,Parivesh
8986,SIA/MH/MIN/411753/2022,Parivesh
8987,SIA/MH/MIN/410503/2022,Parivesh
8988,SIA/MH/INFRA2/412558/2022,Parivesh
8989,SIA/MH/MIN/413371/2023,Parivesh
8990,SIA/MH/IND3/248650/2021,Form-1
8991,SIA/MH/MIS/258768/2022,Form-1
8992,SIA/MH/MIS/259131/2022,Form-1
8993,SIA/MH/MIN/266566/2022,Form-2
8994,SIA/MH/MIN/266500/2022,Form-2
8995,SIA/MH/MIS/266923/2022,Form-1
8996,SIA/MH/MIS/259769/2022,Form-1
8997,SIA/MH/MIN/259783/2022,Form-2
8998,SIA/MH/MIN/94812/2019,Missing
8999,SIA/MH/MIN/240000/2021,Form-2
9000,SIA/MH/MIS/240095/2021,Form-1
9001,SIA/MH/MIN/253200/2022,Form-2
9002,SIA/MH/MIN/253333/2022,Form-2
9003,SIA/MH/MIN/253247/2022,Form-2
9004,SIA/MH/MIN/253294/2022,Form-2
9005,SIA/MH/MIS/253574/2022,Form-1
9006,SIA/MH/NCP/18924/2015,Missing
9007,SIA/MH/INFRA2/411386/2022,Parivesh
9008,SIA/MH/MIN/264632/2022,Form-2
9009,SIA/MH/MIS/285580/2022,Form-1
9010,SIA/MH/MIS/286069/2022,Form-1
9011,SIA/MH/MIS/286892/2022,Form-1
9012,SIA/MH/MIS/287219/2022,Form-1
9013,SIA/MH/MIN/287320/2022,Form-2
9014,SIA/MH/MIN/402337/2022,Parivesh
9015,SIA/MH/MIN/264092/2022,Form-2
9016,SIA/MH/MIS/279192/2022,Form-1
9017,SIA/MH/MIN/280347/2022,Form-2
9018,SIA/MH/IND2/30240/2018,Missing
9019,SIA/MH/NCP/52035/2016,Missing
9020,SIA/MH/MIN/414219/2023,Parivesh
9021,SIA/MH/INFRA2/432286/2023,Parivesh
9022,SIA/MH/INFRA2/432275/2023,Parivesh
9023,SIA/MH/MIS/72242/2022,Form-2
9024,SIA/MH/MIN/407135/2022,Parivesh
9025,SIA/MH/MIN/407406/2022,Parivesh
9026,SIA/MH/INFRA2/407744/2022,Parivesh
9027,SIA/MH/INFRA2/407849/2022,Parivesh
9028,SIA/MH/MIN/281806/2022,Form-2
9029,SIA/MH/MIS/282213/2022,Form-1
9030,SIA/MH/MIN/264275/2022,Form-2
9031,SIA/MH/MIS/278728/2022,Form-1
9032,SIA/MH/MIS/278603/2022,Form-1
9033,SIA/MH/MIN/416787/2023,Parivesh
9034,SIA/MH/INFRA2/423337/2023,Parivesh
9035,SIA/MH/INFRA2/424282/2023,Parivesh
9036,SIA/MH/MIN/410663/2022,Parivesh
9037,SIA/MH/MIN/413234/2023,Parivesh
9038,SIA/MH/MIN/409505/2022,Parivesh
9039,SIA/MH/MIN/243950/2021,Form-2
9040,SIA/MH/MIS/289365/2022,Form-1
9041,SIA/MH/MIS/289377/2022,Form-1
9042,SIA/MH/MIS/289624/2022,Form-1
9043,SIA/MH/MIN/290193/2022,Form-2
9044,SIA/MH/MIN/432971/2023,Parivesh
9045,SIA/MH/INFRA2/419772/2023,Parivesh
9046,SIA/MH/INFRA2/420797/2023,Parivesh
9047,SIA/MH/IND2/117646/2019,Form-2
9048,SIA/UP/IND/287546/2022,Parivesh-2
9049,SIA/UP/IND3/287915/2022,Parivesh-2
9050,SIA/UP/IND3/288881/2022,Parivesh-2
9051,SIA/UP/IND3/219483/2021,Parivesh-2
9052,SIA/UP/IND3/220135/2021,Parivesh-2
9053,SIA/UP/IND3/234335/2021,Parivesh-2
9054,SIA/UP/IND/247853/2021,Parivesh-2
9055,IA/MH/IND/4037/2009,Parivesh-2
9056,SIA/UP/IND/245953/2021,Parivesh-2
9057,SIA/UP/IND3/246370/2021,Parivesh-2
9058,SIA/MH/IND2/152225/2020,Form-1
9059,SIA/UP/IND3/268982/2022,Parivesh-2
9060,IA/MH/IND/19522/2007,Parivesh-2
9061,SIA/UP/IND3/298660/2023,Parivesh-2
9062,SIA/UP/IND3/232523/2021,Parivesh-2
9063,SIA/UP/IND3/295064/2022,Parivesh-2
9064,SIA/UP/IND3/295066/2022,Parivesh-2
9065,SIA/UP/IND3/295073/2022,Parivesh-2
9066,SIA/MH/IND2/152225/2020,Form-1
9067,SIA/UP/IND3/298803/2023,Parivesh-2
9068,SIA/UP/IND3/218490/2021,Parivesh-2
9069,SIA/UP/IND3/295347/2022,Parivesh-2
9070,SIA/OR/IND/19604/2015,Parivesh-2
9071,SIA/UP/IND3/222345/2021,Parivesh-2
9072,SIA/UP/IND3/252725/2022,Parivesh-2
9073,SIA/UP/IND3/255348/2022,Parivesh-2
9074,SIA/MH/IND2/152225/2020,Form-1
9075,SIA/UP/IND3/299359/2023,Parivesh-2
9076,SIA/MH/IND3/70523/2014,Form-2
9077,SIA/UP/IND3/212503/2021,Parivesh-2
9078,SIA/UP/IND3/292379/2022,Parivesh-2
9079,SIA/UP/IND3/292495/2022,Parivesh-2
9080,SIA/UP/IND3/255764/2022,Parivesh-2
9081,SIA/UP/IND3/296634/2023,Parivesh-2
9082,SIA/MH/IND2/152225/2020,Form-1
9083,SIA/UP/IND3/210138/2021,Parivesh-2
9084,SIA/UP/IND3/215468/2021,Parivesh-2
9085,SIA/UP/IND3/238554/2021,Parivesh-2
9086,SIA/OR/IND/19604/2015,Parivesh-2
9087,SIA/UP/IND3/284402/2022,Parivesh-2
9088,SIA/UP/IND/294000/2022,Parivesh-2
9089,SIA/UP/IND3/300253/2023,Parivesh-2
9090,SIA/UP/IND3/300394/2023,Parivesh-2
9091,SIA/UP/IND3/300414/2023,Parivesh-2
9092,IA/MH/IND2/81299/2017,Parivesh-2
9093,SIA/UP/IND3/263538/2022,Parivesh-2
9094,IA/UP/IND2/216372/2021,Parivesh-2
9095,SIA/MH/IND2/151892/2020,Form-1
9096,SIA/UP/IND3/286133/2022,Parivesh-2
9097,SIA/UP/IND3/297792/2023,Parivesh-2
9098,SIA/MH/IND/21567/2017,Missing
9099,SIA/MH/NCP/54670/2016,Missing
9100,SIA/MH/NCP/54705/2016,Missing
9101,SIA/MH/MIN/38104/2016,Missing
9102,SIA/MH/IND/64828/2017,Missing
9103,SIA/MH/MIN/32729/2015,Missing
9104,SIA/MH/MIN/33296/2015,Missing
9105,SIA/MH/MIN/155299/2020,Form-2
9106,SIA/MH/MIN/155320/2020,Form-2
9107,SIA/MH/MIS/175479/2020,Form-1
9108,SIA/MH/MIN/31836/2015,Missing
9109,SIA/MH/MIN/40645/2016,Missing
9110,SIA/MH/NCP/51272/2016,Missing
9111,SIA/MH/MIS/118002/2019,Form-1
9112,SIA/MH/MIS/231949/2021,Form-2
9113,SIA/MH/IND3/231952/2021,Form-1
9114,SIA/MH/MIS/52565/2016,Missing
9115,SIA/MH/NCP/57443/2016,Missing
9116,SIA/MH/MIN/40787/2016,Missing
9117,SIA/MH/MIS/164764/2020,Form-1
9118,SIA/MH/NCP/30500/2015,Missing
9119,SIA/MH/MIN/30544/2015,Missing
9120,SIA/MH/MIS/225027/2021,Form-1
9121,SIA/MH/MIN/30587/2015,Missing
9122,SIA/MH/MIS/211939/2021,Form-1
9123,SIA/MH/MIS/224073/2021,Form-1
9124,SIA/MH/MIN/225449/2021,Form-2
9125,SIA/MH/NCP/57203/2016,Missing
9126,SIA/MH/MIN/161883/2020,Form-2
9127,SIA/MH/MIN/161989/2020,Form-2
9128,SIA/MH/MIN/162047/2020,Form-2
9129,SIA/MH/MIN/162167/2020,Form-2
9130,SIA/MH/NCP/58965/2016,Missing
9131,SIA/MH/MIN/155682/2020,Form-2
9132,SIA/MH/IND2/155881/2020,Form-1
9133,SIA/MH/IND2/62878/2013,Form-2
9134,SIA/MH/MIN/180947/2020,Form-2
9135,SIA/MH/MIN/210615/2021,Form-2
9136,SIA/MH/MIN/194194/2021,Form-2
9137,SIA/MH/MIN/93990/2019,Missing
9138,SIA/MH/MIN/94010/2019,Missing
9139,SIA/MH/MIN/147304/2020,Form-2
9140,SIA/MH/MIN/147969/2020,Form-2
9141,SIA/MH/MIN/161424/2020,Form-2
9142,SIA/MH/MIN/161596/2020,Form-2
9143,SIA/MH/MIN/161866/2020,Form-2
9144,SIA/MH/MIN/33310/2015,Missing
9145,SIA/MH/NCP/48108/2016,Missing
9146,SIA/MH/NCP/50378/2016,Missing
9147,SIA/MH/MIN/162910/2020,Form-2
9148,SIA/MH/MIN/163104/2020,Form-2
9149,SIA/MH/NCP/41132/2016,Missing
9150,SIA/MH/NCP/41144/2016,Missing
9151,SIA/MH/NCP/83843/2018,Missing
9152,SIA/MH/MIS/117641/2019,Form-1
9153,SIA/MH/MIS/117889/2019,Form-1
9154,SIA/MH/MIS/117936/2019,Form-1
9155,SIA/MH/MIN/157046/2020,Form-2
9156,SIA/MH/NCP/56235/2016,Missing
9157,SIA/MH/NCP/75403/2018,Missing
9158,SIA/MH/MIS/223593/2021,Form-1
9159,SIA/MH/MIS/270309/2022,Form-1
9160,SIA/MH/MIN/160629/2020,Form-2
9161,SIA/MH/MIN/33315/2015,Missing
9162,SIA/MH/MIN/33317/2015,Missing
9163,SIA/MH/MIN/33323/2015,Missing
9164,SIA/MH/MIN/156047/2020,Form-2
9165,SIA/MH/MIN/156392/2020,Form-2
9166,SIA/MH/NCP/57855/2016,Missing
9167,SIA/MH/MIS/118855/2019,Form-1
9168,SIA/MH/MIN/43646/2019,Form-2
9169,SIA/MH/MIN/157160/2020,Form-2
9170,SIA/MH/NCP/60213/2016,Missing
9171,SIA/MH/MIS/60146/2016,Missing
9172,SIA/MH/MIN/51901/2016,Missing
9173,SIA/MH/NCP/59046/2016,Missing
9174,SIA/MH/NCP/59063/2016,Missing
9175,SIA/MH/MIN/138408/2020,Form-2
9176,SIA/MH/IND2/17536/2016,Missing
9177,SIA/MH/NCP/57268/2016,Missing
9178,SIA/MH/NCP/53621/2016,Missing
9179,SIA/MH/NCP/57935/2016,Missing
9180,SIA/MH/MIN/138987/2020,Form-2
9181,SIA/MH/MIS/139140/2020,Form-1
9182,SIA/MH/MIS/139379/2020,Form-1
9183,SIA/MH/MIN/48955/2016,Missing
9184,SIA/MH/MIS/165945/2020,Form-1
9185,SIA/MH/NCP/53957/2016,Missing
9186,SIA/MH/MIN/182274/2020,Form-2
9187,SIA/MH/NCP/36580/2015,Missing
9188,SIA/MH/NCP/59638/2016,Missing
9189,SIA/MH/IND2/50229/2019,Form-2
9190,SIA/MH/NCP/58325/2016,Missing
9191,SIA/MH/MIN/31406/2015,Missing
9192,SIA/MH/NCP/31504/2015,Missing
9193,SIA/MH/MIN/234144/2021,Form-2
9194,SIA/MH/MIS/125931/2019,Form-1
9195,SIA/MH/MIS/262824/2022,Form-2
9196,SIA/MH/MIS/63554/2017,Missing
9197,SIA/MH/MIN/41879/2016,Missing
9198,SIA/MH/NCP/59131/2016,Missing
9199,SIA/MH/NCP/73690/2018,Missing
9200,SIA/MH/MIS/220463/2021,Form-1
9201,SIA/MH/MIN/65832/2020,Form-2
9202,SIA/MH/MIS/221003/2021,Form-1
9203,SIA/MH/MIS/204109/2021,Form-1
9204,SIA/MH/MIN/162212/2020,Form-2
9205,SIA/MH/MIN/33282/2015,Missing
9206,SIA/MH/MIN/33307/2015,Missing
9207,SIA/MH/NCP/33365/2015,Missing
9208,SIA/MH/MIS/126329/2019,Form-1
9209,SIA/MH/MIN/31903/2015,Missing
9210,SIA/MH/MIN/31914/2015,Missing
9211,SIA/MH/MIS/32058/2015,Missing
9212,SIA/MH/NCP/36324/2015,Missing
9213,SIA/MH/IND2/41519/2018,Form-2
9214,SIA/MH/MIN/163962/2020,Form-2
9215,SIA/MH/MIN/164212/2020,Form-2
9216,SIA/MH/MIN/164300/2020,Form-2
9217,SIA/MH/MIN/164329/2020,Form-2
9218,SIA/MH/NCP/57898/2016,Missing
9219,SIA/MH/MIN/31141/2015,Missing
9220,SIA/MH/MIN/216723/2021,Form-2
9221,SIA/MH/MIS/216730/2021,Form-1
9222,SIA/MH/MIN/216843/2021,Form-2
9223,SIA/MH/MIN/166497/2020,Form-2
9224,SIA/MH/MIS/261074/2022,Form-1
9225,SIA/MH/MIN/31825/2015,Missing
9226,SIA/MH/NCP/82587/2018,Missing
9227,SIA/MH/NCP/25714/2018,Missing
9228,SIA/MH/MIS/116410/2019,Form-1
9229,SIA/MH/THE/32265/2015,Missing
9230,SIA/MH/NCP/33238/2015,Missing
9231,SIA/MH/MIN/33269/2015,Missing
9232,SIA/MH/MIN/33279/2015,Missing
9233,SIA/MH/MIN/33322/2015,Missing
9234,SIA/MH/MIN/32760/2015,Missing
9235,SIA/MH/MIS/58879/2020,Form-2
9236,SIA/MH/MIN/212802/2021,Form-2
9237,SIA/MH/MIS/230443/2021,Form-1
9238,SIA/MH/MIS/230466/2021,Form-1
9239,SIA/MH/NCP/37207/2015,Missing
9240,SIA/MH/NCP/33712/2015,Missing
9241,SIA/MH/NCP/31646/2015,Missing
9242,SIA/MH/NCP/64333/2017,Missing
9243,SIA/MH/NCP/30080/2015,Missing
9244,SIA/MH/NCP/73223/2018,Missing
9245,SIA/MH/MIS/114441/2019,Form-1
9246,SIA/MH/MIN/163849/2020,Form-2
9247,SIA/MH/MIN/178696/2020,Form-2
9248,SIA/MH/MIN/179312/2020,Form-2
9249,SIA/MH/MIN/179409/2020,Form-2
9250,SIA/MH/MIS/151835/2020,Form-1
9251,SIA/MH/NCP/73590/2018,Missing
9252,SIA/MH/NCP/73733/2018,Missing
9253,SIA/MH/MIS/142678/2020,Form-1
9254,SIA/MH/MIN/155231/2020,Form-2
9255,SIA/MH/MIN/160469/2020,Form-2
9256,SIA/MH/MIN/161181/2020,Form-2
9257,SIA/MH/MIS/205194/2021,Form-1
9258,SIA/MH/IND3/62447/2021,Form-2
9259,SIA/MH/NCP/59988/2016,Missing
9260,SIA/MH/MIN/140289/2020,Form-2
9261,SIA/MH/MIN/155199/2020,Form-2
9262,SIA/MH/MIN/155295/2020,Form-2
9263,SIA/MH/MIN/155359/2020,Form-2
9264,SIA/MH/MIN/155409/2020,Form-2
9265,SIA/MH/NCP/51670/2016,Missing
9266,SIA/MH/NCP/64334/2017,Missing
9267,SIA/MH/MIS/224507/2021,Form-1
9268,SIA/MH/MIS/175915/2020,Form-1
9269,SIA/MH/NCP/64331/2017,Missing
9270,SIA/MH/MIN/87056/2018,Missing
9271,SIA/MH/IND2/30126/2018,Missing
9272,SIA/MH/MIN/42706/2019,Form-2
9273,SIA/MH/NCP/58547/2016,Missing
9274,SIA/MH/NCP/58549/2016,Missing
9275,SIA/MH/MIS/66135/2017,Missing
